"Gene","FC_malesOverall","FC_femalesOverall","FCB_1","FCB_3","FCB_7","FCB_21"
"RASGEF1B",0.978671683302293,1.00532996127612,1.20545556759076,1.27960251328784,1.62323977769267,1.50467313565915
"PI3",1.02155521332147,0.919207158814684,1.03968811381858,1.13162790360265,1.57367761434316,1.3958373242021
"XIST",0.998389264991632,1.02025469968627,1.53521663133559,1.55639711492981,1.55491423403063,1.49706492797423
"ICAM1",1.01137867561701,1.01240530657691,1.22214521632751,1.30720578705488,1.53610116548568,1.39182584070995
"EGR3",1.03241480000928,0.959970386804625,1.02224776843949,1.06791948434849,1.53072038301797,1.57719333617716
"CCL8",1.0184633371466,0.950018081208507,1.05477279039471,1.11095119646511,1.52566252357834,2.13914279679279
"PTGS2",1.03560688271468,1.01854331007858,0.950556406090256,1.0067024465298,1.52470018556422,1.34413842469689
"CXCL10",1.07496251177528,0.975057822901741,1.2474635693892,0.95580059276626,1.52062531555922,1.74401776327453
"MN1",1.03576768784533,0.894152546222687,0.949804621625185,1.19472654150123,1.51802350208515,1.16118199701986
"CCL4",0.962094474896061,1.03427944336225,1.13723309247265,1.11537662818761,1.50891792266233,1.32753545553922
"NFKBID",1.00521240675256,1.00526485775171,1.0987131469439,1.19252043081151,1.48290142456104,1.37224664467493
"NLRP3",1.00706947813904,0.978778678454494,1.09771289786543,1.13642323781997,1.47903038702625,1.33717393240416
"PPP1R15A",0.963127373923383,0.973583651626608,1.17807072025316,1.17656552636244,1.47704164463756,1.44547786278547
"MFSD2A",0.993249042966874,1.03719714224175,1.08569888670409,1.17588354695733,1.46339901560167,1.19241532441327
"F3",0.97548048134785,1.07471727069919,0.992803885753972,0.947331782093861,1.4622096697214,1.38750485189433
"ORM1",0.919142776577082,0.981259729192751,1.12990025570851,1.08284007178408,1.45446160307431,1.22410293724382
"IL1RN",1.03990698431786,0.972410647546093,1.08042938283511,1.09540748711376,1.44998482042126,1.40647987290834
"CCRL2",1.01700868616684,1.00163477907934,1.03364815668422,1.02051936146626,1.42210902618375,1.37934248541387
"HLA-DQA1",1.01431550859265,1.08451195993372,1.35701773738553,1.32198013746607,1.42096748560416,1.35484055694735
"SERPINB2",0.975878649414721,1.03676201547747,0.839898216275112,0.872098821075223,1.4074113656728,1.0455082554861
"ZC3H12A",0.985837809663755,0.98712610765876,1.13515931698329,1.24609221929785,1.40209402964212,1.33238593279266
"LAMB3",1.02622258281284,1.0562035732191,0.935744136935351,1.04530995413031,1.40110918136593,1.12636626238521
"RNF19B",1.00825130213179,0.98521935402664,1.1207905689953,1.15118273230271,1.39327948440872,1.30945785820831
"EREG",1.0182208999564,1.12758763761375,1.00420845447991,0.973811370011394,1.38105837267837,1.06736250230979
"GJB2",1.02557136449729,0.914671792086241,0.790583111848051,0.813901851430099,1.37763008914942,0.900701765070512
"CD83",0.992536176166562,0.999691630982199,1.10133174089081,1.18117929753648,1.3622525535739,1.26652882594112
"ADM",1.00076536401217,0.946188942453927,1.0260069458239,1.09631039799297,1.35557814037366,1.28836904801021
"PLAU",1.03264869616532,0.956922140038822,0.856673131497593,0.973495581887654,1.33587992380703,1.13837183332064
"GPR132",0.982865716096442,1.00635457149599,1.05731840304111,1.11352058520653,1.32314484511316,1.25840675501812
"TSIX",0.992692897325437,0.941136371060306,1.19201709689448,1.22065504148465,1.31986380538521,1.22008766572853
"PHLDA2",1.03007886379801,1.05162799625459,0.991897576443312,1.00410290185131,1.30623301431888,1.18420252894976
"NINJ1",0.99571901354005,1.00299451760799,1.11901073251897,1.1656747440109,1.30601060685684,1.2357057969857
"MAFF",0.999339373847981,0.920620278067086,0.971622729142283,1.06943877558539,1.30288949367982,1.16364757170719
"PLK2",0.991771113694018,1.03002690517075,0.955728116531843,1.0472536331779,1.30279825997307,1.17997608389938
"DSP",1.02808127149992,0.904988518570485,1.35532959498765,1.24364844240553,1.2914737458009,1.16372226583205
"KRT23",1.03578641142773,1.00689104667061,0.973953644677645,0.989865553350105,1.28927774415455,1.50845671681538
"IER3",1.02918658883846,0.999812725435817,1.10885856050939,1.0985938837716,1.28891285897376,1.19628733808335
"OASL",1.02050054040785,1.00063452670901,0.975628133808929,0.935068534917445,1.28465311076076,1.46079082222015
"SDC4",1.00172414077568,1.01442671405934,0.940424867799913,1.03490171828052,1.27710520243234,1.09889825821288
"NR4A3",0.973933289770266,0.964363480807119,0.724562166742206,0.859756591653878,1.27009703307643,1.13282646998535
"MSC",0.95879164502884,0.941471847217649,0.877758233883608,0.892336044639999,1.26779607142249,1.01581806788777
"IGKV3-20",0.96720850146355,0.962158950877943,1.07012227786708,0.997420712082281,1.26374666215664,0.951752150388777
"IFIT2",1.06957683032487,0.978594893225947,0.882507228218639,0.802794253603173,1.26230225070177,1.47268766989403
"G0S2",1.00287203369959,1.05861509829508,1.04700393790842,1.12105616501352,1.25790134190423,1.17195384412577
"ATF3",0.938410927537138,0.933953025522724,1.00448057873697,0.989497052020802,1.25768867389514,1.31172651196769
"CYP4F3",0.994324645544713,1.01184317336227,0.872621317554307,1.01999741793216,1.25505926382386,1.37930570270139
"PTGES",1.03034973240946,1.06917994231745,0.883463058736824,1.06001472562251,1.25234138417172,0.98916466947602
