,Pretreatment_Quercetin1,Pretreatment_Quercetin2,Pretreatment_Quercetin3,Pretreatment_Quercetin4,Pretreatment_Quercetin5,Pretreatment_Quercetin6,Pretreatment_Quercetin7
ID_REF,GSM1922995,GSM1923002,GSM1923008,GSM1923015,GSM1923018,GSM1923022,GSM1923017
8107133,8.909266,7.563459,7.608403,8.616051,8.087163,8.400049,8.288952
7938261,4.277531,4.63468,4.457962,3.952882,4.262858,4.446882,4.325066
8100768,3.587591,4.024485,3.703229,3.921952,3.889763,3.649858,4.350776
7970194,5.625363,5.879147,5.879147,5.727724,5.784021,5.585495,5.880276
8021866,8.435459,8.232816,8.138207,8.381757,8.763659,8.29899,8.0165
8004385,5.500827,5.228866,5.955132,5.366791,5.536046,5.400014,5.537576
8038942,6.472826,6.422058,5.987053,6.463596,6.023805,6.821385,5.954113
8049471,6.159529,5.783479,5.649041,5.992833,5.754567,5.985635,5.486659
8116295,2.018345,2.422179,2.133982,2.109763,2.07395,2.010386,1.964846
8013507,5.935451,6.10858,5.898848,6.090525,6.195046,5.701555,6.15907
8170468,5.739192,5.453312,5.318066,5.508838,5.664484,5.629262,5.933234
8178050,12.00023,12.01126,11.83578,12.14544,11.97235,11.91309,12.00793
8108013,6.318198,7.065861,6.492668,6.11531,6.698154,6.387409,6.802278
8058695,5.917401,6.469745,6.277136,6.150987,5.961493,6.222634,5.586136
8037283,4.761564,4.993564,4.834579,4.50088,4.92083,4.752672,4.908831
8045165,4.260182,4.491214,4.452262,4.323664,4.472339,4.375516,4.618271
8173506,4.122738,4.447307,3.952094,3.95083,3.906092,4.127005,4.144928
7987048,10.44469,10.27011,10.41825,10.31236,10.32929,10.30713,10.51489
8074632,7.365106,7.425145,7.432416,7.496871,7.833831,7.230633,7.268619
8049301,4.361441,4.285206,4.175384,3.844183,4.313461,4.234038,4.424142
8034084,5.761669,5.127801,5.596865,5.028038,5.69152,5.348449,5.957326
7904883,7.164708,7.073087,6.915948,7.088584,7.37551,7.073087,6.830818
7921909,3.066195,3.439405,3.509578,3.38459,3.392299,3.295079,3.410818
7973056,10.29888,10.42228,10.29012,10.28065,10.18868,10.30153,10.06973
8063345,8.357971,8.467066,8.484648,8.294429,8.015055,8.514414,8.810548
7935011,7.38573,7.018121,7.099203,7.349665,7.145123,7.367136,7.346158
7955132,3.916402,4.098334,4.016839,4.13728,3.986907,4.00107,4.1129
8015187,6.504355,6.717234,7.21644,6.747982,6.644624,6.978236,7.18376
8027860,5.680446,5.282042,5.287841,5.43347,5.725803,5.43278,5.600738
8015357,4.466813,4.677822,4.71275,4.286874,4.458775,4.654332,4.650167
8155493,4.455479,4.777643,4.605932,4.255501,4.673567,4.311426,5.211304
8059965,3.525875,3.434,3.460036,3.348633,3.651255,3.260707,3.646066
7978760,8.863957,8.702809,8.795019,8.903287,8.610052,8.838789,8.574701
8115302,4.274456,3.981733,3.977142,3.915803,4.100126,3.992188,3.965935
7990436,8.743709,8.875376,8.812331,8.868927,8.829368,8.767375,8.825371
8120552,7.099658,7.101162,7.031753,7.255425,6.903622,7.177832,6.629685
7950442,4.38524,4.388628,4.476661,4.370247,4.524551,4.413724,4.742365
7903109,2.092568,2.508945,2.397887,2.18227,2.157916,2.169428,2.238256
7933071,7.498833,6.509463,7.3337,7.609121,6.920535,6.802507,7.063449
7902911,4.931413,5.430614,5.363516,5.081769,5.230624,5.254063,5.699884
7922125,2.550395,2.84286,2.538119,2.517112,2.831598,3.048385,2.823472
8152041,9.264241,9.212714,9.25485,9.498349,8.854926,9.460716,9.0508
7934244,6.95127,6.735382,6.769459,6.89902,7.1627,6.897727,7.243352
8128052,8.309238,8.267045,8.415764,8.2511,8.199119,8.470154,7.858337
