"","preEGCG_Means","Post_EGCG_Means","Post_EGCG_Quercentin_Means","MI_Male_Means","HealthyMale_Means","Fold_Change_Post_EGCG_to_Overweight_Females","Fold_Change_MI_Males_to_Healthy_Males","Fold_Change_MI_Males_to_Overweight_Females","Fold_Change_Overweight_Females_to_Healthy_Males","Fold_Change_MI_Males_to_Post_EGCG_Females"
"AARS",8.04577864285714,8.01289142857143,8.12764157142857,7.0826208725,7.17460837683333,0.995912488306535,0.987178742099659,0.880290297171895,1.12142408620334,0.883903262091586
"AARS2",6.51637664285714,6.484936,6.48194957142857,5.76144700083333,5.74289641733333,0.995175134191851,1.00323017901629,0.884148863179767,1.13468469032269,0.888435444981004
"AASDH",6.97669535714286,7.041581,7.06683585714286,5.7678739505,5.9806452495,1.0093003405675,0.964423353982116,0.826734385728159,1.16654559267265,0.819116324941799
"AASDHPPT",8.08043064285714,8.18755771428571,8.08481871428571,6.69225679933333,6.81415431266667,1.01325759432429,0.982111131075099,0.828205462693883,1.1858302985356,0.817369114559844
"AASS",5.767465,5.75931057142857,5.85554071428571,3.80258408466667,3.8167085465,0.998586132976719,0.996299308249177,0.659316369439029,1.51110961964567,0.660249874964367
"AATF",9.41332478571429,9.40207914285714,9.48773542857143,8.78608118483333,8.88427514516667,0.998805348470052,0.988947442674965,0.933366412488724,1.0595489932384,0.934482793788033
"AATK",6.62437835714286,6.57923721428571,6.54736535714286,5.76206006016667,5.65208998583333,0.993185603173092,1.01945653282396,0.869826533074401,1.17202280461679,0.875794544640422
"ABAT",8.32356014285714,8.29375914285714,8.39984814285714,6.07687792216667,6.00113939383333,0.996419681063328,1.01262069139923,0.730081577818782,1.38699663457414,0.732704895029448
"ABCA1",8.1412025,7.82250671428571,8.05964085714286,5.76822801533333,5.73149008016667,0.960853966509949,1.00640984013805,0.708522852162605,1.42043384636954,0.737388694700537
"ABCA10",4.45311035714286,4.47792014285714,4.56057557142857,2.93183964766667,2.94334964,1.00557133862054,0.996089491993438,0.658380191041965,1.51293964421531,0.654732454830248
"ABCA12",3.73276935714286,3.70452771428571,3.72436271428571,2.63339116433333,2.62087667433333,0.99243413129635,1.0047749251701,0.705479206555902,1.42424456430876,0.710857460771106
"ABCA13",5.56302807142857,5.24771457142857,5.54079085714286,4.0799098345,4.2443271065,0.943319807854389,0.961261875469447,0.733397312059993,1.31069729826173,0.777464128234653
"ABCA2",7.820894,7.73530557142857,7.80777285714286,6.73647097816667,6.84894702566667,0.989056439254716,0.983577614620395,0.861342830904839,1.14191188378169,0.870873285607328
"ABCA3",6.16369321428571,6.15845557142857,6.134174,5.43274800166667,5.4270541645,0.999150242772466,1.0010491579767,0.881411162559987,1.13573460434655,0.882160785062941
"ABCA4",4.40762978571429,4.39139714285714,4.34633371428571,3.61496241333333,3.5825893245,0.996317149205734,1.00903622656718,0.820160174307266,1.23029166518533,0.823191867128956
"ABCA5",6.99779021428571,6.99121142857143,7.13428214285714,5.41887864716667,5.71873752233333,0.999059876687808,0.947565546766988,0.774369976982769,1.22365997511816,0.775098665307273
"ABCA6",4.27602,4.31927714285714,4.30983542857143,2.7783626445,2.7877587655,1.01011621621441,0.996629507145209,0.649754361415522,1.53385581741076,0.643247134325387
"ABCA7",7.91977178571429,7.64858528571429,7.65772628571429,6.47876384866667,6.4215248685,0.965758293630485,1.00891361185058,0.818049310505776,1.23331637701253,0.84705388077027
