"","preEGCG_Means","Post_EGCG_Means","Post_EGCG_Quercentin_Means","MI_Male_Means","HealthyMale_Means","Fold_Change_Post_EGCG_to_Overweight_Females","Fold_Change_MI_Males_to_Healthy_Males","Fold_Change_Overweight_Females_to_MI_Males","Fold_Change_Overweight_Females_to_Healthy_Males","Fold_Change_Post_EGCG_Females_to_MI_Males"
"AADACL4",3.81677757142857,3.73025814285714,3.79031071428571,3.208992764,3.212465028,0.97733181277864,0.998919127844277,1.18940049172033,1.18811490184682,1.16243893869283
"AADAT",3.77608485714286,3.83445942857143,3.80285071428571,3.123973922,3.0767013405,1.01545902002656,1.01536469623415,1.20874403929895,1.22731602428762,1.22743003760946
"AAGAB",6.828185,6.90383542857143,7.04225671428571,5.93729616516667,5.93149987283333,1.01107914161251,1.00097720516861,1.15004958655424,1.15117342095438,1.16279114878508
"AAK1",9.70338989285714,9.70603107142857,9.77270828571429,8.10781101916667,8.26242399666667,1.00027219132701,0.981287213345336,1.19679527185803,1.17439989726644,1.19712102915124
"AAMDC",5.72337035714286,5.762059,5.85462185714286,4.78830690983333,4.77049701666667,1.00675976573993,1.00373334122303,1.19528060020323,1.19974299054106,1.20336041705409
"AAMP",7.62616464285714,7.65054942857143,7.59509028571429,6.13672183383333,6.0756589435,1.00319751629505,1.0100504144326,1.24270984563976,1.25519959460791,1.24668343062121
"AANAT",5.44836835714286,5.44185885714286,5.30146842857143,4.71578519766667,4.6240007805,0.998805238637827,1.01984956783609,1.15534701619545,1.17828015516765,1.1539666522206
"AAR2",8.29122014285714,8.40415485714286,8.25379714285714,5.806535098,5.78933795566667,1.01362100056926,1.00297048513406,1.42791182743612,1.43215341829226,1.44736141525048
"AARD",5.55216828571429,5.64112542857143,5.50057971428571,4.89539438483333,4.8858699745,1.01602205449824,1.00194937859236,1.13416159133486,1.13637250166128,1.15233319016104
"AARS",8.04577864285714,8.01289142857143,8.12764157142857,7.0826208725,7.17460837683333,0.995912488306535,0.987178742099659,1.13598889276946,1.12142408620334,1.13134552488662
"AARS2",6.51637664285714,6.484936,6.48194957142857,5.76144700083333,5.74289641733333,0.995175134191851,1.00323017901629,1.13103125688991,1.13468469032269,1.1255741828506
"AASDH",6.97669535714286,7.041581,7.06683585714286,5.7678739505,5.9806452495,1.0093003405675,0.964423353982116,1.20957833285141,1.16654559267265,1.22082782329
"AASDHPPT",8.08043064285714,8.18755771428571,8.08481871428571,6.69225679933333,6.81415431266667,1.01325759432429,0.982111131075099,1.20742985291032,1.1858302985356,1.22343746807524
"AASS",5.767465,5.75931057142857,5.85554071428571,3.80258408466667,3.8167085465,0.998586132976719,0.996299308249177,1.51672254224605,1.51110961964567,1.5145780982601
"AATF",9.41332478571429,9.40207914285714,9.48773542857143,8.78608118483333,8.88427514516667,0.998805348470052,0.988947442674965,1.07139059925416,1.0595489932384,1.07011066083559
"AATK",6.62437835714286,6.57923721428571,6.54736535714286,5.76206006016667,5.65208998583333,0.993185603173092,1.01945653282396,1.1496545138322,1.17202280461679,1.1418203117611
"ABAT",8.32356014285714,8.29375914285714,8.39984814285714,6.07687792216667,6.00113939383333,0.996419681063328,1.01262069139923,1.3697099480138,1.38699663457414,1.36480594954918
"ABCA1",8.1412025,7.82250671428571,8.05964085714286,5.76822801533333,5.73149008016667,0.960853966509949,1.00640984013805,1.41138708080865,1.42043384636954,1.35613687487589
"ABCA10",4.45311035714286,4.47792014285714,4.56057557142857,2.93183964766667,2.94334964,1.00557133862054,0.996089491993438,1.51887923361938,1.51293964421531,1.52734142415358
"ABCA12",3.73276935714286,3.70452771428571,3.72436271428571,2.63339116433333,2.62087667433333,0.99243413129635,1.0047749251701,1.41747622142108,1.42424456430876,1.40675178243926
"ABCA13",5.56302807142857,5.24771457142857,5.54079085714286,4.0799098345,4.2443271065,0.943319807854389,0.961261875469447,1.36351740530813,1.31069729826173,1.28623297678138
"ABCA2",7.820894,7.73530557142857,7.80777285714286,6.73647097816667,6.84894702566667,0.989056439254716,0.983577614620395,1.16097791044421,1.14191188378169,1.14827267815733
"ABCA3",6.16369321428571,6.15845557142857,6.134174,5.43274800166667,5.4270541645,0.999150242772466,1.0010491579767,1.13454428815671,1.13573460434655,1.13358020094789
"ABCA4",4.40762978571429,4.39139714285714,4.34633371428571,3.61496241333333,3.5825893245,0.996317149205734,1.00903622656718,1.2192740288135,1.23029166518533,1.21478362448805
"ABCA5",6.99779021428571,6.99121142857143,7.13428214285714,5.41887864716667,5.71873752233333,0.999059876687808,0.947565546766988,1.29137237977171,1.22365997511816,1.29015833049276
"ABCA6",4.27602,4.31927714285714,4.30983542857143,2.7783626445,2.7877587655,1.01011621621441,0.996629507145209,1.53904315135561,1.53385581741076,1.55461244463803
"ABCA7",7.91977178571429,7.64858528571429,7.65772628571429,6.47876384866667,6.4215248685,0.965758293630485,1.00891361185058,1.22242019785058,1.23331637701253,1.18056244437561
"ABCA8",3.08337914285714,3.10891657142857,3.04383942857143,2.62855132133333,2.59384649716667,1.0082822862153,1.0133796753989,1.17303364702543,1.18872845645461,1.18274904743027
"ABCA9",4.12052664285714,4.05051942857143,4.073662,2.73287831633333,2.7122234245,0.983010129443753,1.0076154831666,1.50776074376616,1.51924307032956,1.48214408389978
"ABCB1",6.48442457142857,6.44379314285714,6.66806357142857,4.95227260933333,5.25570284666667,0.993733996266923,0.942266477731749,1.30938360687327,1.23378827924817,1.30117900430457
"ABCB10",8.13431921428571,7.97463714285714,8.07289642857143,6.47383422716667,6.454519488,0.980369337959084,1.00299243641646,1.25649173717656,1.26025170880787,1.23182597252684
"ABCB11",3.76835064285714,3.78762042857143,3.72666171428571,2.92006275416667,2.87695236983333,1.00511358616556,1.01498474037505,1.29050330767037,1.30984116468896,1.29710240753108
"ABCB4",5.87098835714286,6.03876257142857,5.79589285714286,4.12738222433333,4.15804185683333,1.02857682626497,0.99262642523677,1.42244842809322,1.41195989826184,1.46309748969372
"ABCB5",3.33217635714286,3.25777485714286,3.33053157142857,2.57980896,2.56553626816667,0.977671800041282,1.00556323915995,1.29163686490292,1.29882254969018,1.26279693870931
"ABCB6",5.43134128571429,5.31847214285714,5.46720542857143,4.74180986216667,4.69900488933333,0.979218919062585,1.00910936971581,1.14541524092924,1.15584925183699,1.12161227410054
"ABCB7",7.17795385714286,7.32722671428571,7.28620185714286,7.30473291933333,7.447604102,1.02079601793404,0.980816490684796,0.982644257690117,0.963793692419187,1.00307934529582
"ABCB8",6.58292932142857,6.52551714285714,6.55987882142857,5.6645603205,5.62996729333333,0.991278627527635,1.00614444549396,1.16212538113594,1.16926599719748,1.15199005282746
"ABCB9",5.37745935714286,5.43125757142857,5.27075057142857,4.93919827316667,4.908770132,1.01000439254167,1.00619873009908,1.08873121906386,1.09547997004127,1.09962331355174
"ABCC1",9.03549071428571,9.051667,8.90620171428571,7.4307963285,7.373770962,1.00179030516723,1.00773354187347,1.2159518731029,1.22535548782966,1.21812879802442
"ABCC10",7.84088292857143,7.75858414285714,7.77346628571429,6.1307156365,6.063429258,0.989503887959556,1.01109708312523,1.27895067941004,1.29314330141253,1.26552666978475
"ABCC11",4.27096664285714,4.234234,4.21328885714286,4.0727344345,4.00541867083333,0.991399454519606,1.01680617413527,1.04867300128334,1.06629718235386,1.03965384144175
"ABCC12",4.0182,4.00165314285714,3.936756,3.558087238,3.53117404466667,0.995882022511856,1.00762159921683,1.12931463767556,1.13792182123362,1.12466414542058
"ABCC13",5.45674507142857,5.18614557142857,5.48076128571429,2.63857067633333,2.589953017,0.950410089447489,1.0187716375603,2.0680685646865,2.10688959823265,1.96551322954724
"ABCC2",6.04700821428571,5.90381771428571,5.98229957142857,3.65171735733333,3.6800406825,0.976320438979772,0.99230352933288,1.65593544695955,1.64319058836538,1.61672362249771
"ABCC3",7.17848214285714,6.96770871428571,7.25239257142857,6.13409976816667,6.027952496,0.970638162166196,1.01760917529412,1.17025845913207,1.19086574547835,1.1358975200314
"ABCC4",8.20573842857143,7.97096328571429,8.36917157142857,5.562722269,5.62241814783333,0.97138890729935,0.989382525941025,1.47512998703898,1.45946783266798,1.4329249062343
"ABCC5",7.89384778571429,7.72366885714286,7.93460071428571,6.28624293633333,6.27206840816667,0.978441574604541,1.0022599447653,1.25573380883664,1.25857169788454,1.22866216520228
"ABCC6",6.01821139285714,6.05577385714286,5.98110392857143,5.4751345865,5.41745102566667,1.00624146641481,1.01064773092734,1.09918967246873,1.11089354833928,1.10605022789294
"ABCC8",5.17433878571429,5.09241557142857,5.13148785714286,4.81783974366667,4.763109821,0.984167404246529,1.01149037597776,1.07399562065473,1.08633623413452,1.0569914821519
"ABCC9",3.63648907142857,3.62678414285714,3.612721,2.7085400575,2.7001338015,0.997331236700894,1.0031132738664,1.34260117784083,1.3467810630008,1.33901809309207
"ABCD1",7.57433421428571,7.36204328571429,7.48654228571429,6.318362932,6.21178059816667,0.971972331486109,1.01715809696575,1.19878112349715,1.21934992625483,1.16518208354706
"ABCD2",8.74975528571429,8.94600228571429,8.81894014285714,6.84884344916667,7.12600601033333,1.02242885584702,0.961105483104456,1.27755223938998,1.22786246223009,1.3062062744043
"ABCD3",7.29440042857143,7.31015185714286,7.30252542857143,6.36026310533333,6.37889062283333,1.00215938633006,0.997079818639103,1.14687086175017,1.14352179083633,1.14934739901137
"ABCD4",6.97934221428571,6.97850757142857,6.89024171428571,6.23093413483333,6.23398104683333,0.999880412389662,0.999511241375758,1.12011169806281,1.11956423381027,1.11997774658153
"ABCE1",7.91634385714286,8.03303228571428,8.059991,7.18527748316667,7.38112973633333,1.01474019202263,0.973465816187652,1.10174504404164,1.07251113852869,1.11798497755079
"ABCF1",7.14055540178571,7.03749171785714,7.13328120357143,7.4629234367619,7.56398359623809,0.985566433123284,0.986639294203857,0.95680405437523,0.944020476900165,0.942993959068492
"ABCF2",7.55304142857143,7.44194614285714,7.55856314285714,7.35478814916667,7.390501147,0.985291317839984,0.995167716353332,1.02695567504922,1.02199313393482,1.01185051043249
"ABCF3",7.85322685714286,7.79353071428571,7.93209171428571,6.960639256,7.0155260175,0.992398520513532,0.992176386864921,1.12823356710714,1.11940670415208,1.11965732279083
"ABCG1",7.68838507142857,7.56776857142857,7.681828,5.67945382816667,5.72554821016667,0.984311854976121,0.991949350471252,1.35371909061023,1.34282077265135,1.33248174919514
"ABCG2",5.72835042857143,5.48158357142857,6.09845928571429,3.41832705266667,3.47182396816667,0.956921829378305,0.984591120981214,1.67577599811659,1.64995416849903,1.60358663374598
"ABCG4",5.92660642857143,5.97200414285714,5.904573,4.759574266,4.729104961,1.00765998465274,1.00644293270107,1.24519675444674,1.25321947333523,1.25473494247545
"ABCG5",4.52976757142857,4.56574028571429,4.41455271428571,3.63240718,3.5688624685,1.00794140399446,1.01780531249407,1.24704289661397,1.26924688508169,1.2569461680544
"ABCG8",5.17131057142857,5.364592,5.22960285714286,4.3543240735,4.32211098516667,1.03737571470553,1.00745309142775,1.18762647982512,1.19647796856127,1.2320148683118
"ABHD1",5.58743535714286,5.61965571428571,5.53651,3.88074578183333,3.868737201,1.0057665735858,1.00310400531476,1.43978391558111,1.44425301250718,1.44808653547795
"ABHD10",7.05865107142857,7.098955,7.06095514285714,6.35554853316667,6.46123897883333,1.00570986271507,0.983642387162447,1.11062814398989,1.09246091880401,1.11696967821956
"ABHD11",7.34371964285714,7.37918214285714,7.34639128571429,5.45591621033333,5.383075657,1.00482895613186,1.01353140062942,1.34601034175495,1.36422374694058,1.35251016664831
"ABHD12",7.64105885714286,7.56725228571429,7.56957842857143,6.20484829366667,6.252139995,0.990340792708385,0.992435917722388,1.2314658627419,1.22215095363405,1.21957087870113
"ABHD12B",4.6340845,4.56956928571429,4.59479128571429,2.93631806583333,2.8779430035,0.986078110080705,1.02028360612505,1.57819568456214,1.61020718421604,1.55622421797056
"ABHD13",9.45342607142857,9.50711071428571,9.44965671428571,7.87587732233333,7.93272691516667,1.00567885573458,0.992833537137822,1.20030133590601,1.19169942095882,1.20711767403064
"ABHD14A",8.42077735714286,8.58465171428571,8.45916571428571,6.110955697,6.12314913783333,1.01946071605893,0.998008632395055,1.37798042968579,1.37523636409786,1.40479691556267
"ABHD14B",8.3034125,8.33798957142857,8.15437185714286,6.36776022066667,6.37449180733333,1.004164200132,0.99894398065444,1.30397694201034,1.30259991713341,1.30940696296439
"ABHD15",7.29812264285714,7.34703028571429,7.31815328571429,6.20142677733333,6.16969218533333,1.00670140051771,1.00514362646413,1.17684573323228,1.18289898808993,1.18473224783823
"ABHD16A",8.29315978571429,8.26993885714286,8.39100614285714,6.42371312054762,6.36253077342857,0.997199990212243,1.00961603948142,1.29102275118527,1.30343727693208,1.28740787484573
"ABHD16B",5.81044864285714,5.857392,5.72552928571429,5.18318964166667,5.12789424533333,1.00807912779688,1.01078325598927,1.12101795314377,1.13310617670108,1.13007480044981
"ABHD17A",6.50896392857143,6.520838,6.454774,7.4964844725,7.65945192216667,1.00182426443884,0.978723353665158,0.868268846877336,0.849794997698765,0.869852798858045
"ABHD17B",7.27270771428571,7.28276785714286,7.30120328571429,6.79572372816667,6.89580971966667,1.00138327336288,0.985485969658566,1.07018884304288,1.05465608970389,1.0716692067627
"ABHD17C",6.11622571428571,6.08818614285714,6.10702242857143,3.50172958916667,3.54989418516667,0.995415543386001,0.986432103750794,1.74662993202203,1.7229318383186,1.73862258287796
"ABHD2",10.4896735714286,10.4042228571429,10.4904242857143,8.01601687816667,7.96066457416667,0.991853825221173,1.00695322651574,1.30858925709094,1.31768817461156,1.29792926028899
"ABHD3",8.92001642857143,8.88943057142857,9.03170814285714,6.935924249,6.87539223216667,0.9965710985638,1.00880415469973,1.28606024350071,1.29738291683767,1.28165046968473
"ABHD4",9.09494964285714,9.09395257142857,9.098281,5.98724158966667,6.103957227,0.999890370868699,0.98087869344545,1.5190550617757,1.49000874426624,1.51888852908888
"ABHD5",10.8158664285714,10.8504842857143,10.8860042857143,6.715486531,6.59640464083333,1.00320065501655,1.01805254478016,1.61058567814011,1.63966084821701,1.61574060727043
"ABHD6",7.5702925,7.47124,7.60358942857143,6.068422577,6.08593364816667,0.986915631067095,0.997122697653474,1.24748934405001,1.24389994003311,1.23116673323259
"ABHD8",6.51562742857143,6.49918357142857,6.42979985714286,6.03790323183333,5.88249282716667,0.997476243489498,1.02641914052983,1.07912087663469,1.10763032272318,1.07639743829667
"ABI1",9.41979035714286,9.52397085714286,9.46899185714286,8.7183095985,8.7669461755,1.01105974719713,0.994452278361658,1.08046063869578,1.07446654383111,1.09241026021621
"ABI2",7.7823335,7.82263914285714,7.86504142857143,5.34450822883333,5.42389732483333,1.0051791204858,0.985363090183047,1.45613649877359,1.43482316015987,1.4636780051445
"ABI3",9.07480678571429,9.10092842857143,9.150811,7.07464827116667,7.02725383233333,1.0028784792309,1.00674437553618,1.28272197258194,1.29137313127354,1.28641426113904
"ABI3BP",4.20305728571429,4.26939528571429,4.28910371428571,2.8525270055,2.82926250516667,1.01578327286318,1.0082228143521,1.47345048008671,1.48556638984147,1.4967063510643
"ABL1",7.55311507142857,7.46983985714286,7.484364,7.061595529,7.09204940733333,0.988974719238594,0.995705912835035,1.06960460145445,1.06501162606376,1.05781191041972
"ABL2",7.15606435714286,7.15778757142857,7.186114,5.62550885033333,5.6670053315,1.00024080474961,0.992677529181769,1.27207414431831,1.26275941851791,1.27238046581412
"ABLIM1",8.78403664285714,8.820108,8.77742614285714,7.015389695,7.24627951733333,1.00410646706172,0.968136776702991,1.25210957975972,1.21221333262752,1.25725132650667
"ABLIM2",6.186711,6.22185942857143,6.20788385714286,4.86500643566667,4.83576158433333,1.00568127856165,1.00604762059157,1.27167581005516,1.27936642286986,1.2789005545722
"ABLIM3",6.97868192857143,6.89041485714286,7.01654185714286,4.8231225545,4.71877725233333,0.987351899351195,1.02211278400884,1.44692195765589,1.47891743038318,1.42862114310449
"ABO",6.4223335,6.35460214285714,6.22418814285714,4.58035170716667,4.74863135516667,0.989453777642837,0.964562494871937,1.40214854897524,1.35245990258062,1.38736117859997
"ABR",9.32678728571429,9.216035,9.35468671428571,7.76000989633333,7.63489824566667,0.988125355245967,1.01638681311014,1.20190404526691,1.22159942223302,1.18763186170093
"ABRA",4.42734471428571,4.52883114285714,4.38681185714286,3.730108386,3.67304534033333,1.02292263989383,1.01553562245477,1.18692119802808,1.20536075764421,1.21412856523283
"ABRACL",6.79424642857143,6.85102628571429,6.95725857142857,6.99181942216667,6.8282375675,1.00835705000397,1.02395667301402,0.97174226311268,0.995021974763978,0.979863161796483
"ABT1",7.38720378571429,7.50919671428571,7.37982157142857,6.154138122,6.12962653666667,1.01651408734755,1.00399887092414,1.20036366413459,1.2051637634895,1.22018657453293
"ABTB1",10.0183477857143,9.99695742857143,9.96649685714286,6.62831625116667,6.59473945633333,0.997864881754917,1.00509145130837,1.51144686012092,1.51914231821442,1.5082197423534
"ABTB2",6.40936542857143,6.36649057142857,6.37697728571429,5.09568195866667,5.0050788155,0.993310592503942,1.01810224104485,1.25780326962331,1.28057232759703,1.24938931100292
"ACAA1",5.90864157142857,5.73060678571429,5.86406421428571,6.22006387466667,6.10941528116667,0.969868745030131,1.01811115931849,0.949932619742624,0.96713700076061,0.921309957772964
"ACAA2",6.75633035714286,6.79806671428571,6.76481585714286,7.68631630183333,7.66761315533333,1.00617737069336,1.00243923971138,0.879007588528636,0.881151698745181,0.884437544245251
"ACACA",6.51084671428571,6.46609471428571,6.55965485714286,5.66218411,5.6590328085,0.99312654682811,1.00055686220714,1.14988255199736,1.15052287813321,1.14197888812303
"ACACB",7.1441215,7.00614514285714,6.98913971428571,5.632803987,5.7793301525,0.980686728642163,0.974646514105685,1.2683064272231,1.23615043811083,1.24381128102925
"ACAD10",7.27876064285714,7.23757885714286,7.29817757142857,5.676738935,5.63737054633333,0.994342198111063,1.00698346655468,1.28220809979121,1.29116235717225,1.2749536203822
"ACAD8",8.28159942857143,8.27719171428571,8.25679771428571,6.14943383433333,6.230643289,0.999467770166411,0.98696612036673,1.34672551192174,1.3291724537003,1.34600874442664
"ACAD9",8.33141942857143,8.38045985714286,8.31624742857143,6.49340833966667,6.49882884366667,1.00588620330448,0.999165926025997,1.28305798630848,1.28198782103497,1.29061032646733
"ACADL",2.9898195,3.03851842857143,3.01864185714286,2.60289206233333,2.580959297,1.0162882503681,1.00849791213632,1.14865289393515,1.15841404530294,1.16736243985761
"ACADM",8.598126,8.87458657142857,8.60609685714286,5.98479758916667,6.0366118655,1.03215358456349,0.991416662610121,1.43666111875928,1.42432977166204,1.48285492353038
"ACADS",7.04620892857143,7.09692585714286,7.10901785714286,5.52112882783333,5.47432751283333,1.00719776110609,1.00854923547966,1.27622613930865,1.2871368970989,1.28541211017674
"ACADSB",7.08919278571429,7.03383042857143,7.18726828571429,6.631363714,6.80966729716667,0.992190597883807,0.973816109453562,1.06903995791209,1.04104833266435,1.06069139500247
"ACADVL",8.79541592857143,8.77083028571429,8.770489,7.3573640075,7.26176903966667,0.997204720839037,1.01316414324267,1.19545749260272,1.21119466627586,1.19211585518583
"ACAN",4.88004028571429,4.854852,4.84153842857143,4.77417829266667,4.70402377433333,0.994838508651655,1.01491372529113,1.02217386669665,1.03741828694433,1.01689792512719
"ACAP1",7.35265671428571,7.31748,7.30267657142857,7.89053663966667,7.99068339683333,0.995215781770776,0.987467059800374,0.931832275807836,0.920153677619055,0.927374186847337
"ACAP2",10.315245,10.3505642857143,10.3833157142857,8.21777775833333,8.17885373716667,1.00342398902928,1.00475910468845,1.25523533287813,1.26120912923593,1.25953324488706
"ACAP3",6.43311864285714,6.334351,6.36772842857143,6.30300311816667,6.24860223783333,0.984647004300658,1.00870608789978,1.02064341747118,1.02952922877802,1.00497348347218
"ACAT1",6.29734621428571,6.43292014285714,6.49983271428571,5.24153848533333,5.22929186683333,1.02152873987838,1.00234192674876,1.20143088368171,1.20424454680499,1.22729617665834
"ACAT2",6.06451907142857,6.01961014285714,6.107827,5.9068304555,6.17416225033333,0.992594807924175,0.956701527430884,1.02669597800657,0.982241610366031,1.01909309708596
"ACBD3",9.15667221428571,9.29771357142857,9.14321171428571,7.96381943066667,8.03477563433333,1.01540312395619,0.991168863090158,1.14978400678268,1.13963010680204,1.167494272362
"ACBD4",6.59367471428571,6.60975642857143,6.53399457142857,5.5422300645,5.50026682116667,1.00243896081966,1.00762931048578,1.18971508536259,1.19879179113844,1.19261675384234
"ACBD5",8.02169628571429,8.041986,8.16181471428571,7.350014385,7.38470690433333,1.00252935458574,0.995302112895913,1.09138511376047,1.08625790970894,1.09414561370277
"ACBD6",6.57834485714286,6.63008328571429,6.62444514285714,6.35757623616667,6.451509099,1.00786496142951,0.985440171998224,1.03472528095224,1.01965985883249,1.04286335537707
"ACBD7",3.87987557142857,3.88169,3.88515814285714,4.283681264,4.26924271216667,1.00046765122696,1.00338199367119,0.905733954585975,0.908797141088169,0.906157522181137
"ACCS",6.74553064285714,6.49283328571429,6.59814857142857,5.94488211733333,5.92171884183333,0.962538550260618,1.00391157974883,1.13467862099223,1.13911700690754,1.09217191486158
"ACCSL",4.98442764285714,5.04963085714286,5.009987,3.78368043933333,3.78936091266667,1.01308138445528,0.998500941592987,1.31734899994234,1.315374216849,1.33458174867236
"ACD",7.4222035,7.49102471428571,7.50600928571429,5.99440808,5.998954876,1.00927234267906,0.999242068644625,1.23818789127216,1.23724942984552,1.2496687937011
"ACE2",4.54260414285714,4.528323,4.50470271428571,2.66110309783333,2.63913296533333,0.996856177116028,1.00832475392055,1.70703801237755,1.72124868376361,1.70167138721042
"ACER1",6.25470342857143,6.39092528571429,6.18913328571429,4.4336133985,4.36173466283333,1.02177910730677,1.01647939208204,1.41074623932875,1.43399447973492,1.44147103305771
"ACER2",6.57075671428571,6.63172985714286,6.73608357142857,4.69276113533333,4.67031944383333,1.00927947046412,1.00480517270176,1.40018989349625,1.40691804774975,1.41318291425711
"ACER3",7.76965278571429,7.73894571428571,7.86667614285714,7.15683687833333,6.86215646733333,0.996047819345925,1.04294282889101,1.08562664174116,1.13224652085697,1.08133604913012
"ACHE",5.42235714285714,5.37334157142857,5.46833342857143,5.59275660133333,5.5500760085,0.990960467904048,1.00769009158937,0.969532116159755,0.976987906931859,0.960767999477672
"ACIN1",9.48504271428571,9.46409257142857,9.48852085714286,7.47888987983333,7.56197804566667,0.997791244226493,0.989012376744342,1.26824206087884,1.25430709491692,1.26544082390467
"ACLY",9.64431464285714,9.56902471428571,9.68218928571429,8.03536530983333,7.98866444766667,0.992193335518435,1.00584589107135,1.20023350164987,1.2072499359607,1.19086368140295
"ACMSD",3.86019385714286,3.85700857142857,3.851061,3.05596469516667,3.01114791966667,0.999174837888414,1.01488361804058,1.26316703306428,1.28196752870586,1.26212471548799
"ACO1",8.07381428571428,8.10262985714286,8.069107,5.99965937383333,6.02740843616667,1.0035690158838,0.995396186831004,1.34571211174539,1.33951670460366,1.35051497964723
"ACO2",9.51688857142857,9.42874814285714,9.60430928571428,7.854029362,7.71628665066667,0.990738524685889,1.01785090647474,1.21172052366827,1.23335083340979,1.20049820395071
"ACOT1",6.57795771428571,6.52165114285714,6.63635657142857,5.14363358883333,5.16527546066667,0.991440113501142,0.995810122422678,1.2788542575362,1.27349601475789,1.26790741024311
"ACOT11",5.72729192857143,5.59265471428571,5.51685557142857,4.74306652766667,4.6770865085,0.976491993779108,1.01410707692636,1.2075082428559,1.22454265452709,1.17912213157107
"ACOT12",4.15688007142857,4.18978385714286,4.07732614285714,2.7076064125,2.701901337,1.00791550036299,1.00211150400715,1.5352600925444,1.53850180038183,1.54741244436422
"ACOT13",7.75984285714286,7.81106742857143,7.829907,5.89653906816667,5.97372792516667,1.00660123824304,0.987078611887426,1.31599956642965,1.29899502527584,1.3246867930954
"ACOT2",6.54616985714286,6.51997457142857,6.52626057142857,5.51065054566667,5.54312526516667,0.995998379772302,0.994141442246656,1.18791235315955,1.18095290003266,1.18315877905842
"ACOT4",4.39408564285714,4.50493242857143,4.39463371428571,3.57089114416667,3.55934379833333,1.02522635986726,1.00324423446781,1.23052914957523,1.23452127465593,1.26157092072957
"ACOT6",4.37966635714286,4.39058,4.350218,3.0762648625,3.04504064133333,1.00249188910003,1.01025412296402,1.42369612270109,1.43829487780667,1.42724381555101
"ACOT7",6.30564014285714,6.38270535714286,6.39535671428571,5.42669951466667,5.3593086035,1.01222163214833,1.01257455320312,1.16196596583521,1.17657716869283,1.17616708643853
"ACOT8",7.97197707142857,8.01873714285714,7.929879,5.6881892225,5.65475655033333,1.00586555518281,1.00591230972882,1.40149646215968,1.40978254332782,1.40971701699699
"ACOT9",8.83799071428571,8.86550714285714,8.87929857142857,6.3715548595,6.22054698433333,1.00311342582958,1.02427565864336,1.38710109371628,1.42077388637117,1.39141973008969
"ACOX1",9.3235795,9.31581871428571,9.30887157142857,7.59765921916667,7.332285289,0.999167617360447,1.03619252657351,1.22716473996087,1.27157893242198,1.22614326933546
"ACOX2",5.131536,5.10553942857143,5.08389971428571,3.93200382116667,3.8562804415,0.994933959066336,1.01963637780379,1.30506892500359,1.33069575147495,1.29845739240827
"ACOX3",7.62202728571429,7.61404785714286,7.58205385714286,6.14246939633333,6.120240988,0.998953109419277,1.00363194984918,1.240873465363,1.24538025555838,1.23957440662024
"ACOXL",4.67487657142857,4.61846614285714,4.64820028571429,3.40989343216667,3.3639296385,0.987933279582996,1.01366372029326,1.37097439096744,1.38970700157484,1.35443122629276
"ACP1",9.21245107142857,8.992266,9.43994942857143,6.91666178533333,7.08778233866667,0.976099186880737,0.975856968349633,1.33192157681664,1.29976495203175,1.30008756811963
