,Pretreatment_Placebo1,Pretreatment_Placebo2,Pretreatment_Placebo3,Pretreatment_Placebo4,Pretreatment_Placebo5,Pretreatment_Placebo6,Pretreatment_Placebo7
ID_REF,GSM1923000,GSM1923004,GSM1923010,GSM1923012,GSM1923007,GSM1923020,GSM192998
8171865,5.670859,6.049347,5.816189,5.96388,6.644241,6.556658,6.035218
8055594,3.236191,3.157974,3.329752,3.14501,3.056379,3.683416,3.119383
8041808,8.340678,8.313413,8.748699,7.915463,7.693189,8.484837,8.693651
8095137,2.722189,2.637012,2.868773,2.751972,2.51976,2.686446,2.545029
7939398,3.823939,3.761198,3.592992,3.971593,3.459345,3.605649,3.878521
8027473,6.944106,6.948425,6.925392,6.804233,7.02814,6.915293,6.991287
8156321,10.07214,10.1214,10.33585,10.07356,10.23899,10.18339,9.86077
7932794,5.567905,4.945441,5.407648,4.873247,5.739855,5.700804,6.413278
8049478,5.891601,5.838036,6.015917,6.222984,6.375159,6.379364,6.573166
8127662,4.400161,4.306262,4.141372,4.401177,4.165827,4.466333,4.326325
7919412,10.82107,10.75745,10.60928,10.35932,10.69048,10.83693,10.62099
8030993,5.74763,4.888022,6.000057,6.203386,6.291148,6.383704,6.172935
8172086,5.82507,5.767609,6.25202,5.878014,6.607869,6.456007,6.926113
8098439,4.439341,3.426029,4.027113,4.019064,4.670584,3.473774,4.378486
8154229,4.011065,4.190549,4.067338,4.307586,4.010323,4.010403,4.075152
8167947,4.377379,5.316141,2.857828,4.040845,4.070881,4.46789,2.924818
8034589,9.154844,9.322378,9.017096,9.162526,9.183578,8.930888,8.968376
8178193,12.1656,12.1611,12.49673,12.38747,12.10589,12.07881,12.27149
8147501,4.288646,4.509194,3.878177,4.158216,3.817798,3.506825,3.819255
7920757,6.552392,6.858747,6.516169,6.847681,6.825341,6.587339,6.642091
8102726,2.142816,2.015518,2.014448,1.976819,2.336411,1.919937,2.003325
7945803,7.841168,7.793207,8.054901,7.893927,8.040317,8.234732,7.869509
8110618,7.075592,7.084367,8.004447,7.667572,7.738873,8.374728,8.467198
8165669,11.63904,11.30778,11.4265,11.21614,11.30104,10.86368,11.41697
8092199,2.122745,2.182698,2.295755,2.098717,2.094998,2.266778,2.145294
8155325,3.774153,4.046251,3.18504,3.881627,3.125257,3.58567,2.978572
7955074,2.535644,2.672068,2.680752,2.541063,2.472537,2.589994,2.520264
8041168,7.119767,6.754881,6.891293,7.248604,6.917517,7.439324,6.754918
7986569,9.118265,8.930918,8.691345,8.389611,8.677462,8.712919,8.69327
7906597,5.188557,5.433374,5.257325,4.984367,5.161281,5.157754,4.758718
7972177,5.274666,4.979978,4.978477,5.232368,4.940704,5.163132,4.766368
7938812,6.009241,6.035432,6.228946,6.431768,6.347169,6.028881,6.069675
8159239,5.32421,5.549925,5.165516,5.676377,5.055001,5.487895,4.996545
8117241,3.97612,3.869862,4.136662,4.211634,3.99038,4.108083,4.07802
8145227,7.347222,7.295023,6.872396,7.101493,6.95904,6.985181,7.188143
8100131,4.628561,4.728148,4.448464,4.591095,4.564765,4.383599,4.232383
8022559,4.739365,4.754671,4.85187,4.956748,4.491111,4.48717,4.423419
8047738,5.232183,5.04041,5.199067,5.334316,5.140519,4.738179,4.866685
8159786,6.354473,7.066822,6.681664,7.067403,6.799502,6.960171,7.108846
8110520,4.592747,4.54896,4.640538,4.390932,4.913562,4.774763,4.385811
7981777,5.0099,5.356359,4.662328,4.937238,4.891097,4.847342,5.080384
8120981,4.944906,4.804567,4.981921,4.943106,4.891968,4.979301,5.06602
8150797,7.359035,7.335045,7.588788,7.536694,7.514165,7.607729,7.517743
8053795,3.606027,3.95046,3.65183,3.913567,3.428164,3.478213,3.506185
8176553,3.936143,3.9975,3.813527,4.433937,3.9989,4.107249,3.877741
8165674,11.89181,11.52157,11.7406,11.36008,11.572,11.28622,11.86136
7991758,9.797916,10.11973,9.459576,9.43972,10.34799,10.32024,10.69446
7973894,5.282,5.009817,5.02986,5.148571,5.266283,5.248081,4.876024
7957608,3.589411,3.608407,3.680403,3.809973,3.435473,3.16709,3.651028
8051443,8.890961,8.757098,8.91058,8.519515,8.91058,9.003785,8.819904
7937728,6.54083,6.543571,6.711823,6.580193,6.421722,6.439973,6.443695
8129558,6.849654,6.760211,6.078678,6.846082,6.795515,5.857592,5.895786
8162142,7.930914,8.055294,7.743981,7.717124,7.775484,7.538613,7.717914
7939494,4.894145,5.060693,4.776728,5.055441,4.710172,5.374651,4.884937
8081548,5.634044,5.826188,5.676926,5.982327,5.87375,5.995041,5.884302
8057819,2.643451,2.539079,2.803689,2.640186,2.887077,2.742135,2.663628
7957041,3.423095,3.580834,3.428845,3.558981,3.633728,3.372278,3.446203
8100227,7.655687,7.081494,7.314215,6.797919,7.482573,7.200896,7.043302
7998444,6.257935,6.832789,6.119546,6.611006,6.434126,6.440157,6.431635
7936882,6.105162,5.985377,5.821549,6.089137,5.761696,6.076307,5.918245
7964701,10.32894,10.25197,10.57119,9.721078,10.44347,10.28044,10.26386
8059343,2.998062,3.204076,3.426751,3.605753,2.789503,2.691862,2.682463
8039996,4.38447,4.195805,4.250715,4.343283,4.639237,4.386312,4.180423
8136217,4.469145,4.495701,4.240556,4.439342,4.320806,4.160405,4.565494
8133959,4.261169,4.538165,3.882594,4.405939,3.977364,3.893146,4.159913
8055287,9.038506,8.700635,8.856991,8.878101,8.938113,9.047013,9.3527
8150034,7.339414,7.592493,8.260959,7.942902,7.54438,7.958089,7.908608
8069991,5.222403,5.366353,5.043762,5.412416,5.088654,5.338416,4.920407
