"","GSM1923001","GSM1923005","GSM1923011","GSM1923013","GSM1923021","GSM1923006","GSM1923014"
"IL15",5.702104,5.431506,5.743922,5.68574,5.769149,5.766088,5.543986
"IL15RA",8.227907,7.987771,7.966594,7.962621,8.089094,8.247059,8.125423
"IL16",8.1118,8.072722,8.247223,8.100262,8.080472,7.991249,8.026291
"IL17A",5.830015,5.462214,5.86089,5.574801,5.657413,5.521727,5.544199
"IL17B",6.258464,6.181668,6.21341,6.271508,6.104037,6.153298,6.088745
"IL17C",6.607597,6.386125,6.626235,6.417197,6.438289,6.547106,6.431996
"IL17D",6.21702,6.22583,6.319731,6.152673,6.126033,6.228357,6.540505
"IL17F",5.297229,4.788698,5.047013,4.61145,5.220149,4.741383,4.630742
"IL17RA",11.50143,11.07863,11.36563,11.25377,11.42938,11.37012,11.3748
"IL17RB",4.179753,4.015945,4.281343,3.899921,3.942667,4.139409,4.067991
"IL17RC",5.978816,5.826552,5.913461,5.937443,6.051961,6.033382,5.978816
"IL17RD",5.177916,5.079948,5.380468,4.948771,5.040845,5.116788,4.967093
"IL17RE",5.523361,5.323022,5.529792,5.384162,5.461119,5.294011,5.290677
"IL17REL",5.723897,5.230296,5.179484,4.948675,5.211865,5.1119,5.241993
"IL18",5.064926,5.301383,5.524512,5.689785,5.325369,5.601146,5.112914
"IL18BP",7.330613,7.438524,7.440047,7.334218,7.198103,7.374228,7.467915
"IL18R1",6.607198,6.717263,6.765287,7.019803,7.260014,6.88883,6.903612
"IL18RAP",9.849833,10.01864,9.170086,9.915257,10.7383,9.903835,9.418355
"IL19",3.870726,3.602688,4.022418,3.608268,3.918751,3.764034,3.905279
"IL1A",4.416201,4.471584,4.415039,4.229248,4.519603,4.36108,4.239804
"IL1B",10.2557,9.286621,9.479825,10.51778,10.28153,9.683103,9.97897
"IL1F10",5.642851,5.598906,5.385939,5.45268,5.659627,5.392248,5.32828
"IL1R1",7.411956,6.428921,7.247294,6.762648,7.416507,6.757167,6.557256
"IL1R2",9.767576,9.273981,9.466386,9.840938,10.04099,9.56989,9.815744
"IL1RAP",9.773567,9.153297,9.315504,9.507057,9.639445,9.385119,9.377345
"IL1RAPL1",4.57959,4.636326,4.509211,4.208458,4.686582,4.737942,4.024567
"IL1RAPL2",4.581414,4.462578,4.711742,4.214373,4.21086,4.47314,4.434615
"IL1RL1",7.413693,7.487288,7.456971,6.836432,6.642108,6.983094,6.915244
"IL1RL2",4.283954,3.683486,4.2979,3.73053,3.931725,4.006601,3.925544
"IL1RN",9.646342,9.324367,9.237322,9.736475,9.780183,9.811012,9.813583
"IL2",2.660869,2.469931,2.664773,2.600008,2.328657,2.669243,2.451006
"IL20",3.763613,3.6341,3.737872,3.53045,3.586325,3.561523,3.744668
"IL20RA",3.695173,3.603304,3.703952,3.604451,3.701187,3.596276,3.60751
"IL20RB",5.337061,5.51266,5.886333,5.400471,5.587875,5.81029,5.647196
"IL21",3.712911,3.464691,3.667455,3.302592,3.495235,3.30314,3.525862
"IL21R",7.438191,7.811994,7.196599,7.837981,7.378574,7.589433,7.634845
"IL22",3.643766,3.563488,3.393443,3.369569,3.848186,3.692246,3.829938
"IL22RA1",5.077026,4.745467,5.167157,4.698948,4.762074,4.925028,5.025999
"IL22RA2",3.192775,3.07009,3.424759,3.293415,3.185857,3.346803,3.371795
"IL23A",6.10076,6.304615,6.349201,6.16143,6.334714,6.326603,6.421645
"IL23R",5.424594,5.426898,5.805808,4.500523,5.064286,4.29561,4.81841
"IL24",4.931558,4.609564,5.031141,5.011679,4.581425,4.797678,4.735337
"IL25",4.347881,4.054035,4.436046,4.636225,4.408103,4.631079,4.45795
"IL26",2.805236,2.780184,3.161591,2.780474,2.780675,2.863889,2.763436
"IL27",6.416469,6.199996,6.206137,5.980551,6.129577,5.847116,5.970696
"IL27RA",7.626725,7.846662,7.773507,7.846884,7.566883,7.740324,8.022709
"IL2RA",7.915974,8.092856,8.171307,7.952143,8.252953,8.366385,8.26416
"IL2RB",10.5033866666667,10.37789,10.5771366666667,10.039836,10.1433433333333,10.47211,10.6192233333333
"IL2RG",11.762,11.76505,11.69857,11.78324,11.84801,11.78725,11.84628
"IL3",4.23841,3.911359,4.194223,3.970174,3.842214,4.144684,3.983433
"IL31",4.781815,4.567219,4.67762,4.400358,4.616525,4.625809,4.849877
"IL31RA",5.012594,5.003401,5.163512,4.405191,4.706815,4.677733,4.688701
"IL32",7.2313685,7.4536745,7.313302,7.621192,7.3182995,6.9760995,7.4387075
"IL33",3.551036,3.343607,3.524708,3.345353,3.213614,3.343607,3.443982
"IL34",6.20924,6.178396,6.213308,6.116262,6.276927,5.997823,6.233952
"IL36A",5.426686,5.564647,5.432708,5.734151,5.260396,5.602547,5.372371
"IL36B",3.99536,3.739203,3.85225,3.675753,4.034513,4.056398,3.841867
"IL36G",4.518432,4.328922,4.687674,4.532406,4.56598,4.514434,4.61059
"IL36RN",4.915987,4.623236,4.988808,4.763599,5.035161,4.569767,4.657624
"IL37",4.871058,4.466054,4.722764,4.545049,4.642748,4.6389,4.666296
"IL3RA",5.938715,6.345561,6.508695,6.489652,6.450316,6.497347,6.090357
"IL4",3.525046,3.693151,3.726524,3.604971,3.659915,3.653684,3.422321
"IL4I1",6.833211,6.852913,7.100444,6.634382,6.737908,6.740084,6.81063
"IL4R",10.28679,10.00951,9.932229,10.35931,10.16169,10.01252,9.892961
"IL5",2.641872,2.641872,2.641872,2.523908,2.540588,2.589188,2.4934
"IL5RA",8.455194,8.653961,8.943988,8.032622,8.395845,8.235816,7.897878
"IL6",4.659958,4.549771,4.937779,4.865982,4.32656,4.495529,4.861845
"IL6R",10.61985,10.13648,10.54199,10.52763,10.50073,10.48865,10.35058
"IL6ST",9.893963,9.739379,9.726865,9.921406,9.483635,9.683231,10.23778
"IL7",5.911438,6.172824,5.308995,5.872114,5.567689,5.624887,5.742226
"IL7R",11.55611,11.66731,11.67008,11.68028,11.57998,11.58747,11.90248
"IL9",4.489497,4.316007,4.320272,4.30599,4.591341,4.444439,4.40582
"IL9RP3",6.393645,6.283209,6.373118,6.306854,6.202182,6.426627,6.242467
"ILDR1",6.285757,5.684447,6.090672,5.773278,5.801092,5.837984,5.830463
"ILDR2",4.686555,4.36538,4.848869,4.289249,4.513524,4.329601,5.055282
