"","preEGCG_Means","Post_EGCG_Means","Post_EGCG_Quercentin_Means","MI_Male_Means","HealthyMale_Means"
"KRTAP5-6",5.45824792857143,5.46400857142857,5.37592871428571,4.34658648383333,4.2971984955
"KRTAP5-7",7.49839697619048,7.56183433333333,7.47174695238095,4.58438204633333,4.52531327383333
"KRTAP5-9",5.68912428571429,5.75273971428571,5.61560814285714,3.80820397366667,3.703661279
"KRTAP5-AS1",5.51080107142857,5.54611842857143,5.55940928571429,4.7133581335,4.69863406216667
"KRTAP6-1",5.9410705,5.98476528571429,5.93302528571429,5.39858145483333,5.36900424116667
"KRTAP6-2",5.27489214285714,5.44212228571429,5.20497214285714,4.33374272,4.207768094
"KRTAP6-3",5.87054007142857,5.859073,5.81083328571429,3.15390401416667,3.044571604
"KRTAP7-1",4.34873942857143,4.387838,4.35841471428571,3.26277602416667,3.261756009
"KRTAP8-1",4.94810157142857,5.030276,4.90390842857143,2.87828979716667,2.8419654685
"KRTAP9-1",5.62819528571429,5.40815885714286,5.58070042857143,6.27972670166667,6.19905113166667
"KRTAP9-2",5.63922842857143,5.72021171428571,5.53022364285714,4.4108848285,4.35305375966667
"KRTAP9-3",5.56457285714286,5.55171242857143,5.53486614285714,3.14081114433333,3.13377771083333
"KRTAP9-4",5.88272371428571,5.88941,5.77387685714286,3.78381826233333,3.68404903
"KRTCAP2",9.30277942857143,9.32872542857143,9.26542542857143,6.8705891455,6.89964926316667
"KRTCAP3",6.45019164285714,6.352761,6.33785657142857,4.84052017133333,4.8170571985
"KRTDAP",4.37871857142857,4.428534,4.26586542857143,3.63355822416667,3.56511802183333
"KSR1",8.64974435714286,8.54426028571429,8.53316114285714,6.99516745716667,6.78294258133333
"KSR2",5.37430971428571,5.33826685714286,5.31414485714286,3.94509495216667,3.94096203083333
"KTN1",7.30729892857143,7.39342485714286,7.462952,7.48604371,7.66832477183333
"KTN1-AS1",6.10806535714286,6.14225114285714,6.02518914285714,4.11789647816667,4.105995305
"KXD1",8.16797339473684,8.18397603759398,8.1438167593985,7.14038496933333,7.08569087216667
"KY",5.95837878571429,5.80233871428571,5.77508228571429,4.36371031633333,4.32575217533333
"KYNU",8.45890385714286,8.38979457142857,8.48519628571429,7.38477441566667,7.25710090166667
"L1CAM",4.74938621428571,4.78490028571429,4.75654685714286,5.10071092,5.0386386555
"L1TD1",3.46543228571429,3.40624285714286,3.451494,3.16056993116667,3.09550833283333
"L2HGDH",5.66673635714286,5.73768971428571,5.742865,3.975048408,4.0293426995
"L3HYPDH",6.9566145,7.02002714285714,6.90177471428571,5.04321411066667,5.11169456933333
"L3MBTL1",6.57605292857143,6.49035342857143,6.41082371428571,5.03321431666667,4.99425110483333
"L3MBTL2",7.42053685714286,7.31879071428571,7.298711,6.43553049083333,6.429748234
"L3MBTL3",8.71225414285714,8.66218271428571,8.69651985714286,7.06680160433333,7.1083359435
"L3MBTL4",5.97509235714286,5.878942,6.03951542857143,4.3064832465,4.2411528495
"LACC1",5.44115528571429,5.46650085714286,5.630038,6.063083761,5.98898844083333
"LACRT",4.6672545,4.63347185714286,4.64524371428571,3.5357789955,3.48583859333333
"LACTB",8.17926214285714,8.27376571428571,8.22927128571429,7.43071136466667,7.28223061133333
"LACTB2",6.40174557142857,6.51106642857143,6.50275757142857,4.201409184,4.22952546633333
"LAD1",5.65679735714286,5.63914614285714,5.76416042857143,4.6618005795,4.59382102316667
"LAG3",6.26518478571429,6.33786785714286,6.37396557142857,5.128499994,5.15428571016667
"LAGE3",6.03806207142857,6.07106714285714,6.08190528571429,6.2805256995,6.208126062
"LAIR1",9.55575685714286,9.62714871428572,9.497052,7.26331754316667,7.05441801433333
"LAIR2",6.98928507142857,6.98888185714286,6.963113,6.3643154205,6.25880608783333
"LALBA",3.15446128571429,3.18632957142857,3.22151471428571,3.10136030133333,3.03521045616667
"LAMA1",4.67780978571429,4.64620685714286,4.58509028571429,3.492932811,3.46017336183333
"LAMA2",4.83907314285714,4.89576042857143,4.82239514285714,3.37091418583333,3.4121866235
"LAMA3",4.59441285714286,4.57205528571429,4.54421271428571,3.56413731183333,3.52200858783333
"LAMA4",4.05698707142857,4.09528942857143,3.97977828571429,3.03094331333333,2.99676642966667
"LAMA5",5.89559035714286,5.93057085714286,5.82589214285714,5.688045967,5.61236342083333
"LAMB1",4.17289028571429,4.14476971428571,4.12508514285714,3.40915369433333,3.37279997383333
"LAMB2",5.59507814285714,5.54009685714286,5.52054971428571,5.26293183816667,5.1894142705
"LAMB3",4.88590407142857,4.86761042857143,4.84380271428571,4.6378944275,4.58289356616667
"LAMB4",4.3975145,4.24882014285714,4.36711085714286,2.9314753725,2.90333920983333
"LAMC1",5.27292928571429,5.28480542857143,5.22675971428571,4.44647597166667,4.26376450483333
"LAMC2",4.45766085714286,4.47156885714286,4.343526,3.83406868033333,3.782870818
"LAMC3",6.29307792857143,6.336587,6.22980271428571,5.35343211616667,5.31442654183333
"LAMP1",9.45453064285714,9.31009842857143,9.369957,7.41283781333333,7.37280352066667
"LAMP2",10.196963,10.1800171428571,10.2613457142857,8.7994523935,8.60560957416667
"LAMP3",5.57581523809524,5.74985561904762,5.84605552380952,3.93963911,3.90999405983333
"LAMP5",5.53035907142857,5.51415285714286,5.60413757142857,4.33960000366667,4.35805740033333
"LAMTOR1",10.0451470714286,10.0553998571429,10.0278338571429,6.70566023183333,6.48697083766667
"LAMTOR2",6.68393992857143,6.65561114285714,6.66317728571429,5.3047289685,5.21510074916667
"LAMTOR3",7.74632285714286,7.70839871428571,7.88710771428571,7.22013270883333,7.1606459435
"LAMTOR4",9.32355035714286,9.39378471428571,9.32707914285714,4.91808045966667,4.85075019666667
"LAMTOR5",7.0628235,7.04565642857143,7.14020614285714,6.61039740883333,6.61341793366667
"LANCL1",8.249056,8.27949428571429,8.295057,6.444966904,6.64221034116667
"LANCL2",7.75897392857143,7.729236,7.68680328571429,5.75973392783333,5.79724111416667
"LANCL3",5.12045114285714,5.09966071428571,5.27724328571429,3.76818944516667,3.796967467
"LAP3",7.46160428571429,7.37181257142857,7.47142028571429,6.89952826466667,6.5393207555
"LAPTM4A",11.3563792857143,11.3927657142857,11.3469471428571,9.710592542,9.54132296133333
"LAPTM4B",6.67895757142857,6.69173885714286,6.59546914285714,5.0490238965,5.03721568583333
"LAPTM5",12.722225,12.7452957142857,12.73307,12.31222847,12.22439248
"LARP1",9.15023457142857,9.03746728571429,9.10897214285714,7.9468443115,7.98030236333333
"LARP1B",5.36798871428571,5.32656214285714,5.50847557142857,4.24775295616667,4.33952085666667
"LARP4",8.01881521428571,7.91675285714286,7.97818385714286,6.485223266,6.60893259233333
"LARP4B",9.11078307142857,9.09221171428571,9.159622,8.16910054333333,8.14215518916667
"LARP6",5.09169807142857,5.13221257142857,5.13417457142857,4.323290698,4.2445274225
"LARP7",6.04979264285714,6.16586635714286,6.278298,6.73252853266667,6.7408502425
"LARS",8.40836628571429,8.398603,8.47117357142857,7.63958394683333,7.75390336333333
"LARS2",7.31549442857143,7.38594057142857,7.37313214285714,6.0055929005,6.01473933666667
"LAS1L",7.74830392857143,7.797001,7.75841171428571,6.33865053916667,6.40882732633333
"LASP1",9.41211110714286,9.39819685714286,9.394023,8.467597859,8.48192515783333
"LAT",9.06309085714286,9.07922321428571,9.05604421428571,7.369290753,7.431646953
"LAT2",9.49844578571428,9.55994128571429,9.51071842857143,7.30411014716667,7.07023137033333
"LATS1",8.54002257142857,8.54162371428571,8.57994171428571,7.3225255195,7.39941525066667
"LATS2",7.81288507142857,7.69638785714286,7.72489028571429,6.53377620233333,6.520069198
"LAX1",8.02789028571429,8.13184471428571,8.05661114285714,6.96355101333333,7.47672311966667
"LAYN",4.89155421428571,4.91051828571429,4.76950071428571,3.65387348133333,3.6404748495
"LBH",9.72034507142857,9.75762571428571,9.73489785714286,7.51829074816667,7.87733574466667
"LBP",4.28363171428571,4.36546114285714,4.34072314285714,3.74571855233333,3.74514613033333
"LBR",10.4711514285714,10.4522557142857,10.4443757142857,8.43537483883333,8.4297433715
"LBX1",6.02961221428571,6.14799828571429,5.89291371428571,4.33351686133333,4.30432725083333
"LBX2",5.74582228571429,5.71306257142857,5.75178657142857,5.50070395666667,5.45308756183333
"LCA5",4.00772278571429,4.08628914285714,3.99947542857143,2.82478802466667,2.795798819
"LCA5L",4.2329555,4.17795057142857,4.192111,2.95629540333333,2.88672187683333
"LCE1A",6.63911114285714,6.73225942857143,6.58539157142857,4.2160679605,4.17161833416667
"LCE1B",3.55606485714286,3.713913,3.58892928571429,3.31516720083333,3.29734229783333
"LCE1C",5.36385285714286,5.47299614285714,5.34099485714286,5.569597047,5.5465267025
"LCE1D",7.20653321428571,7.07056485714286,6.92775828571429,4.20364200533333,4.17107080366667
"LCE1E",6.55594064285714,6.528947,6.600564,4.32706430783333,4.23333583166667
"LCE1F",6.60046842857143,6.62104771428571,6.52547214285714,4.91035335483333,4.84811085666667
"LCE2A",6.30339914285714,6.32634585714286,6.22998714285714,4.32454799,4.2598137945
"LCE2B",6.20169821428571,6.14569428571429,6.08539428571429,5.66201442283333,5.54976716533333
"LCE2C",4.31727107142857,4.48441542857143,4.57599,4.9849951775,4.8477214185
