"","GSM192996","GSM1923003","GSM1923009","GSM1923016","GSM1923019","GSM1923023","GSM192997"
"THOC6",8.904262,8.848485,8.986361,8.760199,8.816549,8.719938,8.89707
"THOC7",7.477685,7.804882,7.204895,7.389374,7.445258,7.94365,7.752673
"THOP1",5.738019,5.99014,6.075105,5.901706,6.049811,5.977757,5.8021
"THPO",5.195519,5.2622,5.193103,5.360341,5.115922,5.214062,5.172115
"THRA",8.298731,8.185819,8.264345,8.281286,7.799828,7.929268,8.22827
"THRAP3",9.486937,9.336246,9.420936,9.38312,9.413493,9.515731,9.578188
"THRB",5.079083,5.177166,5.210261,4.813609,4.738505,5.327625,5.046309
"THRSP",5.20786,4.966229,4.803301,5.005081,4.885741,5.341691,4.987753
"THSD1",5.138736,5.552541,5.620002,5.521457,5.35268,5.545963,5.059059
"THSD4",5.261534,5.115396,5.273583,5.143552,5.229179,5.011697,4.79093
"THSD7A",5.055274,4.922994,4.849117,4.87803,4.551751,5.134324,4.403382
"THSD7B",3.604892,3.641408,3.623667,3.588311,3.726671,3.939566,3.145054
"THSD8",7.229228,6.936654,7.155112,7.302819,6.768955,6.693126,7.096286
"THTPA",7.072236,7.039866,7.175666,7.2044,7.050564,7.061596,7.341026
"THUMPD1",7.932468,7.722334,7.849233,7.632206,7.764357,7.857611,8.04915
"THUMPD2",6.72474,6.191773,6.462915,6.7045,6.453747,6.374523,6.82198
"THUMPD3",7.603043,7.349617,7.73506,7.627111,7.460549,7.62041,7.660963
"THUMPD3-AS1",6.8515015,6.6522055,7.1510045,6.614228,7.10248,6.394271,6.968628
"THY1",5.248536,5.308302,4.702446,5.528291,5.032892,5.552546,5.015187
"THYN1",7.211801,7.446742,7.283189,7.452949,7.57321,7.123762,7.284147
"TIA1",9.852136,9.80284,9.780447,9.908031,9.490594,9.825323,9.867938
"TIAL1",7.34271,7.819088,7.590085,7.718667,7.61832,7.468315,7.676064
"TIAM1",8.624584,8.559696,8.651427,8.523508,9.011356,8.609626,8.423047
"TIAM2",6.125613,5.727366,6.351637,6.152277,6.221256,6.207434,6.562579
"TICAM1",7.27256,7.136147,7.19909,7.271595,7.314955,7.177162,7.144453
"TICRR",4.741385,4.826503,4.576857,4.579909,4.793246,4.301771,4.658373
"TIE1",4.611094,4.724202,4.750015,4.885725,4.763145,4.809284,4.31958
"TIFA",6.891964,6.995682,6.945849,6.759735,7.273979,6.795448,7.189069
"TIGAR",7.634685,7.13297,7.296086,7.100482,6.792426,7.160243,7.093027
"TIGD1",7.780603,7.791144,7.850327,7.720665,7.40161,7.414021,7.252794
"TIGD2",5.30489,4.724833,4.565319,5.348261,4.403075,5.093625,4.586298
"TIGD4",4.171659,4.377089,4.383204,4.365727,4.721948,4.370992,4.383674
"TIGD5",5.985738,6.350544,6.735757,6.29142,6.340858,6.343959,6.052578
"TIGD6",5.67825,5.151592,5.131809,5.20233,5.334648,4.860765,5.334193
"TIGD7",5.605621,5.315848,5.405543,5.412947,5.152236,5.276983,5.315048
"TIGIT",6.749703,7.055398,7.173758,7.936096,7.214329,7.11927,8.249944
"TIMD4",6.134265,6.281644,5.698254,5.389863,6.013451,5.162127,5.632114
"TIMELESS",5.821669,5.398893,5.546278,5.848113,5.72149,5.460551,5.692375
"TIMM10",6.284589,6.258625,6.042024,6.236802,6.126899,5.939332,6.62885
"TIMM10B",9.116562,8.90933,9.184992,9.048395,8.803989,8.939097,9.014275
"TIMM13",5.733913,6.059443,5.818377,5.560412,5.468254,5.831718,5.575772
"TIMM17A",6.180402,5.829842,6.021185,6.084949,6.116529,5.689666,6.497138
