"","GSM1923000","GSM1923004","GSM1923010","GSM1923012","GSM1923007","GSM1923020","GSM192998","GSM1922995","GSM1923002","GSM1923008","GSM1923015","GSM1923018","GSM1923022","GSM1923017"
"HGF",6.5436,6.341701,6.683896,6.552336,6.759768,6.342943,6.551992,7.141916,6.494077,6.636679,6.695985,6.614744,6.650087,7.225374
"HGFAC",5.573647,5.474602,5.498724,5.608841,5.379488,5.438503,5.093266,5.28605,5.528123,5.697613,5.533412,5.514834,5.563595,5.570644
"HGH1",7.3117515,7.2012815,6.846284,7.3930885,6.9945945,7.028621,7.002657,6.900745,6.84136,7.165646,7.019414,6.9541895,6.95493,7.033813
"HGS",8.82493,8.784832,8.636001,8.482077,8.428108,8.483783,8.525192,8.568605,8.617005,8.686975,8.69464,8.717752,8.558514,8.906783
"HGSNAT",9.292524,9.167797,9.234583,9.021936,9.068771,9.056303,9.061978,9.153186,8.925777,8.997952,9.063492,9.195492,8.838224,9.190692
"HHAT",6.218814,6.373331,6.328079,5.980317,6.075193,6.411212,6.153996,5.939794,5.757317,6.20118,6.700504,6.280186,6.467051,5.846313
"HHATL",4.969313,5.150823,5.002852,5.442516,4.825367,5.128115,4.961358,4.647504,4.729145,5.200849,4.781108,4.826943,4.77999,5.213356
"HHEX",8.405529,8.120535,8.230848,8.521737,8.481602,8.360708,8.201811,8.139445,8.036412,8.128752,8.058419,8.188002,8.017712,8.738151
"HHIP",4.295218,4.768675,4.382781,4.59825,4.370962,4.323528,4.181638,4.307951,4.609158,4.741853,4.256833,4.312611,4.504503,4.521597
"HHIPL1",5.385701,5.491387,5.428726,5.517432,5.407092,5.369677,5.37438,5.151505,4.986608,5.423545,5.297889,5.067036,5.296691,5.63161
"HHIPL2",5.344605,5.717457,5.28227,5.400241,5.038752,5.032149,5.305815,5.639475,5.346394,5.418808,5.144254,5.332234,5.180391,5.377968
"HHLA1",5.252493,5.513698,4.946437,5.331635,5.083795,5.348468,5.147619,5.126061,5.231665,5.1685,4.953266,5.168436,5.072724,5.281824
"HHLA2",4.32879,4.630548,4.309798,4.539898,4.103919,4.285165,4.683443,4.340263,4.510218,4.227477,4.12455,4.571554,4.276175,3.953823
"HHLA3",6.540942,6.900438,6.46139,6.680166,6.508331,6.673882,7.127738,6.520966,6.910213,6.369081,6.608973,6.812519,6.518825,6.275851
"HIBADH",7.107569,6.931172,7.46734,7.158272,7.466059,7.403997,7.632328,7.496346,7.400321,7.179939,7.433447,7.533958,7.357938,6.818742
"HIBCH",6.790325,7.007167,7.515202,7.659676,7.222239,7.383902,7.567891,7.730291,7.493486,7.235513,7.540149,6.891089,7.793471,6.926435
"HIC1",5.592288,5.890926,5.646688,5.969052,5.728064,5.882328,6.027854,5.591897,5.363675,5.827711,5.700173,5.775573,6.096918,6.199202
"HIC2",7.583109,7.634486,7.248277,7.376517,7.480214,7.4057,7.143899,7.253148,7.40627,7.604841,7.168577,7.458953,7.267833,7.730983
"HID1",6.062715,6.503798,6.022477,6.310315,6.132807,5.732138,5.608006,5.901727,6.186576,6.116333,5.703613,6.009542,5.992425,5.942729
"HIF1A",10.80629,10.58001,11.11354,10.47012,10.72628,10.78231,10.89523,10.89712,10.80084,10.73228,10.84392,10.70564,10.45727,10.79047
"HIF1AN",8.001233,7.902139,7.819747,7.898657,7.864924,7.858626,7.945076,7.983737,8.065992,7.78491,8.12031,8.133573,7.783727,8.084023
"HIF3A",5.225096,5.213914,5.013824,5.439162,5.225972,5.065095,5.288122,5.083959,4.991008,5.168743,5.201292,5.063711,5.147994,5.446278
"HIGD1A",6.8493785,6.7492135,7.0526215,6.980029,6.9384205,7.198522,7.203981,7.2519935,7.5529445,6.987292,7.280039,7.0284775,7.285685,7.001597
"HIGD1B",4.341802,4.002653,3.922673,3.774898,3.77702,3.488154,3.736895,3.776112,3.953948,3.991314,3.943039,4.099015,4.189327,3.790976
"HIGD2B",4.727026,4.792729,4.618591,4.622341,4.259542,4.481945,4.62307,4.544762,4.304092,4.730467,4.427652,4.359475,4.479595,5.011395
"HIKESHI",6.966053,6.760067,7.227269,7.310853,7.026812,7.202458,7.570105,7.260082,7.271102,7.239297,7.473953,6.99613,7.207091,7.03268
"HILPDA",6.218788,6.296705,5.842481,5.92849,6.426071,5.947454,6.127308,6.120115,6.078388,5.782202,6.119733,6.442607,5.980799,6.112856
"HILS1",6.314148,6.56697,5.839334,6.218379,5.948835,5.916235,6.107282,5.820596,5.740026,6.271689,5.823418,5.700274,6.161527,6.360785
"HINFP",7.934122,7.846089,7.798499,7.992291,7.810474,7.64312,7.956895,7.911571,7.673527,7.796897,8.026358,7.873736,7.780861,7.688899
"HINT1",7.31952763636364,7.01415336363636,7.09678427272727,7.33543772727273,7.38561227272727,7.35218127272727,7.32758145454545,7.25663718181818,7.41867109090909,7.22037072727273,7.59364281818182,7.23067690909091,7.25426354545455,6.78934409090909
"HINT1P1",2.93104,2.676765,2.914061,2.79476,2.891314,2.710585,2.815269,2.941217,2.749839,2.766444,2.594891,2.815269,2.956984,3.39988
"HINT2",8.062615,8.088345,8.191056,8.636749,8.359173,8.25562,8.530973,8.266936,7.9368,8.074208,8.256625,8.205801,8.219768,8.143431
"HINT3",6.578459,5.927608,6.873665,7.117166,6.67985,6.887455,7.161404,6.935973,6.611084,6.497713,6.877061,6.682179,6.546988,6.557894
"HIP1",8.334733,7.721071,8.339719,7.033854,8.1997065,8.168636,7.9137415,8.0465415,7.732511,7.9499055,8.4429765,8.398013,7.8147285,8.4397735
"HIP1R",7.102473,6.944907,6.602358,7.140208,6.84824,7.105662,6.941347,6.972065,6.712171,6.661219,6.833711,7.279577,6.605099,6.412925
"HIPK1",8.3670795,8.2357865,8.043731,7.9041325,8.0096335,8.1777705,7.77118,8.1728175,8.000451,8.0329585,8.0071395,8.087235,8.08773,8.319713
"HIPK2",10.21132,9.949393,9.889095,9.509757,10.07053,9.638972,9.540337,10.00139,9.523334,9.53791,9.781194,9.889245,9.510619,9.812402
"HIPK3",10.56274,10.37463,10.53024,10.4694,10.56285,10.70314,10.53137,10.8781,10.44631,10.55638,10.50466,10.46197,10.55656,10.81937
"HIPK4",5.979286,6.264106,5.90444,5.766378,5.77856,5.566238,5.82002,5.623012,5.777456,6.066918,5.561204,5.875078,5.829678,5.723761
"HIRA",8.901031,8.974953,8.84277,8.666554,9.051921,9.074965,8.604015,8.770929,8.643229,8.732263,8.792167,8.923881,8.720145,8.934316
"HIRIP3",5.711792,5.192562,5.381657,5.405385,5.617868,5.556067,5.64687,5.689163,5.500515,5.235039,5.359937,5.661392,5.147799,5.652966
"HIST1H1A",4.945313,5.120249,4.941878,5.378124,4.760513,4.915911,5.166462,4.94633,4.81764,5.017553,4.994544,4.911152,5.10827,5.036504
"HIST1H1B",7.12254,7.034725,7.625107,7.776409,7.11255,6.985597,7.570862,7.305067,7.721524,7.469096,7.317436,7.497264,7.400531,7.689016
"HIST1H1C",7.652955,7.640974,7.618259,7.585072,7.666492,7.544554,7.509951,7.675524,7.728887,7.653138,7.87348,7.787328,7.681056,7.366219
"HIST1H1D",6.960795,6.9484,6.840585,7.178033,6.852942,7.074877,6.94096,6.914407,6.934338,6.914288,6.775455,6.919851,6.862895,6.423879
"HIST1H1E",12.2201,12.19151,12.26874,12.38932,12.05862,11.97503,12.21517,11.86051,12.09935,12.15505,12.25219,12.08423,12.06945,11.74398
"HIST1H1T",5.27844,5.710716,6.26666,6.122541,5.78125,6.104348,5.782759,6.121492,5.77052,5.870284,5.947155,5.872137,6.426662,6.775431
