"","GSM1923000","GSM1923004","GSM1923010","GSM1923012","GSM1923007","GSM1923020","GSM192998","GSM1922995","GSM1923002","GSM1923008","GSM1923015","GSM1923018","GSM1923022","GSM1923017"
"PATE1",3.335139,3.464821,3.402588,3.576758,3.762592,3.769121,3.340582,3.187853,3.493001,3.716336,3.508791,3.171513,3.193204,3.496957
"PATE2",2.958124,3.468191,3.16015,3.446033,3.268861,3.538788,3.084755,3.117172,3.059517,3.011217,3.16015,3.155986,3.264546,3.207692
"PATJ",8.054709,8.019958,8.079636,8.010757,8.047003,8.109786,7.828755,8.430399,8.236883,8.063412,8.149711,8.079636,7.865667,7.446517
"PATL1",10.83665,10.6726,10.84293,10.48144,10.74886,10.63407,10.65436,10.62194,10.42716,10.4742,10.72993,10.77479,10.56121,10.55548
"PATL2",8.171865,7.873034,7.691375,7.986093,7.740756,7.70446,7.857758,7.491609,7.380047,8.453455,8.514154,8.055773,8.371338,7.682462
"PATZ1",8.351236,8.452955,8.088692,8.382149,8.456266,8.111211,8.14576,8.18796,8.109053,8.107625,8.154597,8.444578,8.050603,7.889594
"PAWR",5.865081,5.822674,5.909208,6.33601,6.016642,6.137835,6.170749,6.317935,6.227187,6.246521,5.989164,5.956774,5.58935,6.409353
"PAX1",5.198792,5.613152,5.579706,5.082512,5.214102,5.497097,5.26023,5.342151,5.061931,5.523373,5.104827,5.177931,5.425247,5.466341
"PAX2",6.07449,6.500024,5.987765,6.08888,6.199119,5.982277,6.196115,5.864376,6.013269,6.081381,5.867103,5.917749,6.136177,6.568328
"PAX3",4.193637,4.584558,4.222819,4.574071,4.436426,4.244601,4.117051,4.058761,4.306454,4.244601,3.895016,4.159184,4.263265,4.181718
"PAX4",5.492992,5.890614,5.364563,5.734466,5.413309,5.471101,5.408279,5.369458,5.442205,5.557246,5.224045,5.141642,5.233497,5.664054
"PAX5",8.546523,8.470264,7.644077,8.739035,7.570119,7.903716,8.426302,8.405926,7.668387,8.099992,8.106775,8.617121,7.151871,7.679129
"PAX6",4.513281,4.476012,3.992152,4.121995,4.420067,4.360177,4.202972,4.261974,4.231943,4.262805,4.468555,4.074942,4.135095,4.453427
"PAX7",5.47997,5.673138,5.439863,5.346743,5.163052,4.957003,5.109265,5.216012,5.328178,5.150424,4.934248,5.289297,5.260755,5.646854
"PAX8",6.279175,6.504775,6.378013,6.610604,6.098876,6.276105,5.806574,6.044839,6.01977,6.424959,6.04121,6.302826,6.238121,6.700905
"PAX8-AS1",5.561044,5.416234,7.32138,7.116019,6.282823,6.386263,4.428958,6.134855,5.830324,6.276549,4.667364,6.789782,5.377687,6.244408
"PAX9",4.753869,4.943972,4.973916,5.256145,4.670898,4.867995,4.549525,4.749341,4.889286,5.042068,4.550869,5.073566,5.057474,5.129606
"PAXBP1",7.065161,6.965959,7.523843,6.879019,7.233254,7.375844,7.344586,7.520036,7.381367,7.140071,7.659194,7.063112,7.560898,6.926879
"PAXIP1",7.572751,7.453199,7.495713,7.47085,7.619928,7.536423,7.58569,7.534379,7.541214,7.609968,7.699247,7.840062,7.69716,7.633247
"PAXX",8.181177,8.176826,7.887994,8.202272,8.475173,8.00565,8.127824,7.844405,8.063454,7.953208,8.357586,8.092643,8.019183,8.068132
"PBDC1",6.269965,5.761745,5.9745,5.908914,6.196156,6.27051,6.391833,6.317784,6.027503,6.028287,6.260042,6.103415,6.57588,6.04963
"PBK",2.898388,3.050724,3.024287,2.922739,2.776633,2.847187,2.936821,2.632584,2.941681,2.94618,3.057882,2.915,3.174759,2.953476
"PBLD",5.572092,5.446859,6.259532,5.209422,5.622523,5.811668,5.60491,5.825978,5.745111,5.716361,5.991365,5.700148,5.702026,5.791562
"PBOV1",3.141603,3.713589,3.172016,3.208698,3.255787,3.218575,3.07771,3.215275,3.324909,3.219876,3.215862,3.319962,3.295691,3.356419
"PBRM1",9.109344,9.218214,9.394661,8.797266,9.135339,9.326629,9.358626,9.396774,9.267912,9.186135,9.476561,9.228198,9.354458,9.032464
"PBX1",8.285363,8.95895,7.729302,7.456357,8.227649,8.561039,8.641623,8.004754,9.106048,8.694988,7.47174,8.841785,9.51883,8.716785
"PBX2",10.635875,10.534585,10.41365,10.28634,10.32716,10.443355,10.222445,10.45114,10.192695,10.396345,10.38453,10.39332,10.110845,10.631475
"PBX3",8.097186,7.870905,8.087548,8.037313,8.072756,7.883187,8.290565,8.251297,8.104251,8.088658,8.23258,8.175292,7.878737,8.000772
"PBX4",8.000013,7.616967,7.548881,7.886245,7.629074,8.010177,7.572029,7.733709,7.668604,7.592873,7.818896,7.656008,7.750609,7.513233
"PBXIP1",8.611015,8.376631,8.542479,8.189888,8.518398,8.65847,8.29084,8.718835,8.317209,8.234833,8.529433,8.874548,8.353282,8.528778
"PC",5.440145,5.854688,5.58179,5.48525,5.606576,5.489533,5.434289,5.289625,5.33677,5.527947,5.392072,5.445836,5.440145,5.65713
"PCARE",5.251761,5.417253,5.204512,5.463466,5.289602,5.106746,4.821483,5.090203,5.377877,5.258853,5.192201,5.245111,5.000919,5.420739
"PCAT18",4.367987,4.497643,4.242558,4.792372,4.274399,4.433973,4.348499,4.023929,4.40739,4.340545,4.448872,4.234441,4.342597,4.474302
"PCAT4",3.139745,3.046467,3.140565,2.864446,2.949295,2.985311,2.962313,3.109504,3.290231,3.115404,3.461107,3.030825,3.139051,3.125008
"PCBD1",6.554302,6.625062,6.677396,6.643519,6.647715,6.41517,6.768996,6.716089,6.617411,6.618673,7.118572,6.622165,6.805825,6.316942
"PCBD2",6.197626,6.490719,6.741584,6.438984,6.463988,6.475158,6.415786,6.533724,6.527502,6.464109,6.85399,6.728606,6.601795,6.399311
"PCBP1",11.07169,11.33691,10.95145,10.89132,11.14841,11.085,11.03135,10.94758,11.05835,11.05019,10.96693,11.09358,11.11138,10.93933
"PCBP2",11.78914,11.98421,11.96315,11.77918,12.0047,11.97323,12.21241,12.02299,12.13403,11.98333,11.83026,12.08306,12.01098,11.78329
"PCBP3",6.667954,6.78907,6.244708,6.333091,6.538949,6.839472,5.942025,6.433901,6.666548,6.389442,5.764872,5.930833,5.73516,6.441116
"PCBP4",6.300427,6.558347,6.157207,6.481314,6.61431,6.251197,6.448562,6.217636,6.018752,6.496132,6.632133,6.300672,6.36591,6.117922
"PCCA",6.646667,6.503046,6.980688,6.560782,6.449615,6.891987,6.980076,6.895866,6.845993,6.566998,7.386745,6.59925,6.783298,6.264051
"PCCB",7.640405,7.673773,7.775088,7.556748,7.623748,7.593306,7.771574,7.70576,8.039995,7.688579,7.634465,7.630989,7.796956,7.672732
"PCDH1",6.249157,6.436792,6.074799,5.997921,6.197666,6.275407,5.978219,6.125326,6.111344,6.20916,5.733565,5.833995,6.06108,6.171744
"PCDH10",4.659908,4.75957,4.547873,4.73102,4.711327,4.334962,4.468786,4.577085,4.561795,4.707421,4.304193,4.571242,4.522059,4.711023
"PCDH11Y",4.154763,4.005888,3.9557305,4.092248,3.939538,4.06698,4.013796,4.076994,4.133768,4.135932,3.996092,4.0408815,3.9800445,3.9519135
"PCDH12",5.033818,5.072986,5.019306,5.15244,5.011274,4.880704,4.861993,5.043036,5.02444,4.964,5.298356,5.024636,5.061129,5.077826
"PCDH15",2.966357,2.865141,2.862301,2.74054,2.794664,3.054179,2.87508,2.742441,2.755501,3.068947,2.677174,2.87413,2.67962,2.847003
"PCDH17",5.662411,5.851521,5.381622,5.499634,5.125677,5.597648,5.354812,5.365726,5.366393,5.609411,5.323204,5.533913,5.432305,5.871332
"PCDH18",3.246754,3.30519,3.390651,3.278322,3.402951,3.29805,3.427545,3.461628,3.594464,3.287624,3.295636,3.485821,3.55819,3.337559
"PCDH19",4.158803,4.316397,3.951833,4.509851,4.035528,4.100772,3.826073,4.201314,4.137206,4.102043,4.234245,4.069849,4.137206,4.034649
"PCDH20",4.165802,4.662488,4.251315,4.058166,4.068249,3.86797,3.844105,3.975332,4.182372,4.334588,3.993041,4.116488,4.274384,4.309373
"PCDH7",5.09337,5.433411,4.794761,5.103387,4.892387,5.038215,5.139027,5.079728,5.270144,5.186426,4.763215,4.857047,5.050526,5.178538
"PCDH8",4.81555,4.788437,4.679535,5.018747,4.612423,4.896754,4.648159,4.608696,4.603453,4.828734,4.708392,4.729266,4.49714,4.907397
"PCDH9",4.848043,5.186759,4.795417,5.11067,4.873149,4.90278,4.996203,5.097248,4.86023,5.085254,4.830888,4.870871,4.646304,4.892577
"PCDHA10",5.4883127,5.810726,5.6792006,5.2428534,5.7285909,5.2718894,5.2452413,5.1393317,5.1092098,5.3635368,5.0077782,5.2257082,5.3447065,5.5483822
"PCDHA2",3.755992,3.779352,4.053379,3.570814,3.775036,3.643007,3.624298,3.413952,3.751776,3.773157,3.375332,3.604727,3.673712,3.904522
"PCDHA3",4.2200895,4.304851,4.720182,4.029012,4.2117035,4.1267575,4.160323,3.744697,3.9631435,4.23296,3.853567,3.794152,4.174079,4.413131
"PCDHB1",3.946081,3.713403,3.559705,3.518749,4.110062,3.562236,3.317863,3.564953,3.700535,3.56108,3.458137,4.059233,3.564953,3.759417
"PCDHB10",3.011663,2.742445,2.57719,2.837426,2.648617,2.773902,2.7152,2.501963,2.782131,2.84117,2.57419,2.533413,2.791414,2.75006
"PCDHB11",3.910122,4.181728,4.045521,4.073842,3.705599,4.070658,4.139629,3.533676,3.665924,3.951808,3.919754,4.021881,3.968313,4.032758
"PCDHB12",3.848695,4.213833,3.701809,4.13325,3.867294,3.612267,3.678126,3.898459,3.848456,3.79492,3.724258,3.998363,3.495172,4.182724
"PCDHB13",3.162076,3.713597,3.36537,3.487594,3.35625,3.472408,3.472408,3.443946,3.32601,3.377877,3.213352,3.371325,3.601249,3.844009
"PCDHB14",3.083304,3.028653,3.34135,3.150305,3.057505,2.91803,2.926212,3.411438,3.064281,3.079062,3.080615,3.337993,3.079062,3.104807
"PCDHB15",4.348044,4.400048,4.512434,4.767894,4.008176,4.779446,4.213068,4.417769,4.555291,4.552188,4.588454,4.334591,4.262771,4.47616
"PCDHB16",3.854982,4.075289,4.260565,4.111903,3.64359,3.678072,3.925342,3.785743,3.492042,3.905355,3.585165,3.816705,3.712421,3.854982
"PCDHB17P",3.666066,4.160084,3.590591,4.053275,3.982758,3.82552,4.171267,3.718848,3.608418,3.789597,3.756811,4.075291,3.27899,3.933553
"PCDHB18P",4.132399,4.041778,4.159429,4.156463,4.231311,4.141909,4.145236,4.256144,4.368218,4.35147,4.275015,4.2201,4.310621,4.200562
"PCDHB2",4.378428,4.674097,4.396125,4.249863,4.449831,5.044917,4.220212,4.303349,4.378428,4.449263,4.524114,4.786511,4.787323,4.322304
"PCDHB3",3.438624,3.611397,2.894883,3.422294,3.217352,3.14496,3.035339,3.114744,2.852124,3.734948,3.356369,2.713723,3.133489,3.110977
"PCDHB4",3.139125,3.351954,3.069304,3.027445,3.04861,3.179819,2.924159,2.893769,2.839297,3.042432,2.80663,2.956899,2.949179,3.158221
"PCDHB5",4.028066,4.259002,3.754496,4.159063,4.051653,4.009596,3.477278,3.822908,3.936143,3.975728,3.714285,3.863923,3.678052,4.159523
"PCDHB6",3.021876,3.075988,3.080179,3.180344,2.975179,3.217402,2.923511,3.274621,2.974786,3.149664,2.917727,3.043111,3.058054,3.329792
"PCDHB7",3.286499,3.787289,3.075773,3.477795,3.424642,3.303858,3.38395,3.231033,3.329492,3.69444,3.160882,3.35979,3.463151,3.572157
"PCDHB8",3.268288,3.86,3.718395,3.309173,3.146881,3.186413,3.521812,3.270595,3.900621,3.144297,2.433076,3.338365,3.076734,3.306142
"PCDHB9",4.262949,4.047958,4.268482,4.236277,4.109063,4.045461,3.658685,3.965463,4.109316,4.045461,4.01837,4.107171,4.333824,3.805515
"PCDHGA8",6.921017,6.85996,7.213506,7.645731,6.949712,7.319646,6.761334,6.42438,7.004849,7.267604,7.414428,5.864016,7.543195,6.542693
"PCED1A",8.311649,7.911184,7.800976,8.391484,8.06277,7.674313,8.064639,7.725495,7.871229,7.913426,8.259673,8.363664,8.004869,7.787059
"PCED1B",8.752362,8.871135,8.359605,8.635091,8.763252,8.349723,8.678164,8.705323,8.916429,8.60095,8.472075,9.12467,8.403117,7.740798
"PCF11",9.314062,9.184205,9.367858,9.142671,9.432261,9.538276,9.59449,9.563169,9.315022,9.319187,9.407146,9.39421,9.458708,9.370475
"PCGF1",7.182914,6.809071,6.914171,7.373824,6.931265,6.880404,7.074397,6.996095,7.087661,6.977507,7.041517,7.275259,7.172262,7.217985
"PCGF2",5.475195,5.654826,5.358244,5.620792,5.148976,5.239788,5.380062,5.400022,5.380062,5.464006,5.380062,5.466639,5.310559,5.486289
"PCGF3",8.188019,7.976886,8.32355,8.283635,8.048204,8.765554,8.560468,8.574091,8.189909,8.195245,8.396963,8.434212,8.252514,8.284669
"PCGF5",9.028852,8.903157,9.237385,8.948655,9.192324,9.183511,9.465412,9.200239,9.564432,9.1509,9.107244,9.13078,9.275525,9.145526
"PCGF6",6.8100935,6.361999,6.604307,6.91297,6.8340445,6.7486015,6.9969145,6.825243,6.8133325,6.6446185,7.241525,6.5434895,6.988431,6.329673
"PCID2",8.335624,8.4447965,8.037787,8.176276,8.133132,8.240137,8.255298,8.1912385,8.248342,8.168581,8.488725,8.4736045,8.188442,7.7195465
"PCIF1",9.627401,9.490879,9.511796,9.593376,9.761404,9.35678,9.377516,9.505026,9.258965,9.497739,9.519331,9.79128,9.275168,9.476384
"PCK1",4.761781,4.693202,4.745658,4.555782,4.697649,4.914964,4.556232,4.64632,4.595892,4.679686,4.628477,4.527047,4.787018,4.785659
"PCK2",7.530067,7.386402,7.636323,7.356001,7.479872,7.173775,7.386034,7.262805,7.299904,7.225526,7.330955,7.544416,7.491226,7.49181
"PCLAF",4.4444945,4.3555515,4.379322,4.2371945,4.543911,4.249059,4.6714945,4.4384785,4.7255695,4.288966,4.261047,4.519537,4.4366265,4.290767
"PCLO",4.16391,4.341305,4.010304,3.995319,3.905753,3.896433,3.869925,3.879305,4.136794,4.092216,3.713147,3.899745,3.935564,3.983433
"PCM1",9.148681,8.941896,9.155553,8.816663,9.066297,9.241548,9.054999,9.342331,9.300499,9.047528,9.395253,8.856604,9.179657,8.778798
"PCMT1",9.245874,9.21959,9.632347,9.528587,9.566203,9.588496,9.812307,9.611804,9.843875,9.663869,9.550745,9.304293,9.759275,9.567463
"PCMTD1",10.02004,9.927919,10.37742,10.46192,10.28225,10.52329,10.74282,10.54838,10.49179,10.37276,10.42312,9.889468,10.3908,10.42435
"PCMTD2",10.09244,10.01109,10.03134,9.812277,9.973746,10.02028,10.01725,10.16024,10.25082,10.03531,10.06167,10.2049,10.21008,9.941844
"PCNA",6.801825,6.35692,6.780876,6.979097,6.955854,6.781129,7.236179,7.027448,7.033072,6.650449,6.812642,7.154655,6.922915,6.543736
"PCNP",9.1943605,9.004978,9.276678,9.6120655,9.5294655,9.357372,9.984372,9.490957,9.352046,9.1737735,9.3408725,9.2131785,9.3521915,8.9855285
"PCNT",7.217539,7.23212,7.044495,7.048946,6.957831,7.145579,7.310324,7.307285,6.995002,7.238349,7.301594,7.453847,7.3728,6.959851
"PCNX1",10.72282,10.72483,10.44022,10.24491,10.77885,10.87216,10.61252,10.67936,10.51087,10.69236,10.80735,10.62978,10.53973,10.87346
"PCNX2",7.625348,7.698456,7.446772,7.679798,7.699413,7.736991,7.562702,7.508996,7.495922,7.504601,7.948696,7.792794,7.609863,6.908007
"PCNX3",8.4163675,8.3953465,8.0874095,8.241608,8.4827855,8.2275235,7.9482815,8.0207515,7.9747685,8.01387,8.207994,8.5194315,8.0499775,8.195039
"PCNX4",8.138917,8.036588,8.496672,8.250493,8.510002,8.398993,8.397398,8.464041,8.413803,8.330541,8.691265,8.33613,8.484891,7.7325
"PCOLCE",6.005212,6.253821,5.750937,6.143385,6.054828,5.820685,5.666611,5.911434,5.835861,5.913568,5.817409,6.149716,5.94373,5.738551
"PCOLCE2",4.232015,4.350183,4.027078,3.944888,4.047944,4.259607,3.977297,3.943326,4.050129,3.914084,3.870681,3.975682,4.099838,4.336836
"PCOTH",4.358319,4.925353,4.389386,4.426134,4.339006,4.588993,4.56827,4.214904,4.222795,4.64074,4.610023,4.470324,4.590219,4.609672
"PCP2",6.999829,6.7865,6.802176,7.173561,6.885321,6.579008,6.847085,6.767788,6.580581,6.890669,6.831861,6.687442,6.839629,6.844317
"PCP4",4.739018,4.871092,4.936645,5.259035,4.874794,4.748687,4.697385,4.796998,4.527358,4.884323,5.063766,4.511192,5.145668,5.015286
"PCP4L1",6.095383,6.31067,6.186284,6.332001,6.365696,6.058603,5.829218,6.044489,6.118451,5.970468,5.848175,6.061205,6.182749,6.351189
"PCSK1",4.39342,4.389678,4.297315,4.524241,4.332125,3.974676,4.10799,4.244872,4.364898,4.344663,4.032289,4.020489,4.048506,4.332288
"PCSK1N",7.274568,8.435522,6.797696,7.351311,7.372617,7.614585,7.581849,7.313879,7.965178,7.458102,7.008383,7.154943,7.52492,7.530158
"PCSK2",4.616897,4.623577,4.543214,4.684075,4.527456,4.484591,4.543214,4.454281,4.652192,4.704301,4.252275,4.616612,4.284106,4.708752
"PCSK4",6.418805,6.366771,5.9875,6.175561,5.920887,6.095225,6.168455,5.897152,6.478776,6.417149,5.813852,6.139955,6.018693,6.138502
"PCSK5",7.309193,7.348376,7.197822,6.904362,7.137471,6.842586,6.814317,7.2502,7.299821,7.103318,7.010123,7.360829,7.036508,7.22753
"PCSK6",6.565666,6.611115,6.861117,6.296278,6.601356,6.432851,6.756102,6.663749,7.031595,6.284464,6.597628,6.823612,5.675085,7.304311
"PCSK7",9.373395,9.128958,9.055323,9.232725,8.937176,9.133146,9.233861,9.162807,8.947654,9.00156,9.422611,9.398279,9.093507,8.587173
"PCSK9",6.075804,6.2363,5.56299,6.331601,5.94611,5.995125,5.783075,6.026265,5.836816,6.040154,5.767813,6.004996,6.149841,6.570327
"PCTP",9.641302,9.955153,9.919187,9.622897,9.672904,10.19503,10.30731,9.948157,10.70275,10.00722,9.580954,9.669125,10.73547,10.22358
"PCYOX1",7.822159,7.777402,7.822896,7.797173,7.631715,8.09907,7.864842,8.045259,7.758264,7.735311,8.01758,7.786742,7.922466,7.257272
"PCYOX1L",8.859406,8.867928,8.590832,8.579265,8.935353,8.66547,8.421282,8.507606,8.560781,8.544285,8.549364,8.746224,8.652163,8.111919
"PCYT1A",9.220083,9.206187,9.602368,9.339011,9.183531,9.380171,9.184598,9.462509,9.184279,9.26766,9.441628,9.135058,9.484528,9.556894
"PCYT1B",6.287584,6.542109,6.415957,6.186617,6.343609,6.206904,6.037064,6.210235,6.477569,6.471876,6.178574,6.651695,6.562088,6.698101
"PCYT2",7.075803,6.982258,6.879294,7.39148,6.9860445,7.012366,7.081719,6.824598,6.995671,6.817262,7.005317,7.087895,7.056562,6.816175
"PDAP1",7.109088,6.886639,6.901358,6.873188,7.475563,7.232638,7.560613,7.163369,7.189558,7.205437,6.923816,7.366707,6.9972,7.123344
"PDC",3.887454,4.380352,4.06569,4.02362,4.3583,4.044044,3.866288,4.165107,4.32095,3.918266,3.78378,3.843888,4.064713,4.044044
"PDCD1",6.247139,6.494371,6.27005,6.508959,6.074807,6.238104,6.234279,5.898238,5.900954,6.423949,6.513464,6.02624,6.554435,6.188057
"PDCD10",6.756471,6.489334,7.059757,6.753658,7.32816,7.244951,7.354223,7.112676,8.050765,7.148139,7.427379,6.723385,7.564199,6.886358
"PDCD11",7.508077,7.452177,7.30847,6.95724,7.422134,7.434502,7.398214,7.462183,7.213093,7.21523,7.450358,7.826103,7.341424,7.118838
"PDCD1LG2",5.808231,5.817445,6.470947,5.781629,5.636302,5.575167,7.575695,5.723594,6.640331,5.701687,5.909757,6.026573,6.250333,6.1503
"PDCD2",7.683573,7.273178,7.726635,7.555693,7.531178,7.616551,7.636686,7.544198,7.463044,7.485363,7.62699,7.818339,7.579568,7.223446
"PDCD2L",6.258604,6.131783,6.277438,6.299923,6.050512,5.961176,6.246589,6.205795,6.254096,6.205768,6.352093,6.504203,6.280464,6.283917
"PDCD4",9.058139,9.023341,9.423592,9.047431,9.306284,9.423365,9.362742,9.467806,9.202224,9.219294,9.472193,9.22098,9.271084,8.957809
"PDCD5",6.944106,6.948425,6.925392,6.804233,7.02814,6.915293,6.991287,6.906928,6.791227,6.826228,7.008729,7.006093,6.905682,6.828211
"PDCD6IP",9.108471,9.13843,9.448956,8.993446,9.111023,9.135348,9.193887,9.351038,9.074931,9.16466,9.411355,9.233859,9.250694,9.34351
"PDCD6IPP2",8.624392,8.913949,8.242078,8.765227,9.106274,8.428964,8.393701,8.151357,8.761215,8.612244,8.870232,8.932928,8.726576,8.198114
"PDCD7",7.73487,7.795694,7.632224,7.743001,7.503056,7.884945,7.897253,7.722968,7.466173,7.778228,7.838443,7.802965,7.847625,7.466948
"PDCL",7.104485,6.937315,7.13482,7.449562,7.106025,7.276206,7.344873,7.337552,7.370825,7.211681,7.044013,7.099775,7.719698,6.896458
"PDCL2",2.771812,2.557674,2.644699,2.60538,2.623588,2.74802,2.669174,2.641194,2.61445,2.696569,2.625757,2.639987,2.759113,3.150815
"PDCL3",5.781705,5.472127,6.050617,5.76862,5.645526,6.419677,6.475636,6.202029,6.214465,5.744726,5.962175,6.388519,6.064822,6.003812
"PDE10A",3.895353,3.696075,3.52478,3.446229,3.254664,3.703113,3.150147,3.305379,3.720335,3.637853,3.300363,3.636797,3.269186,3.621928
"PDE11A",4.384669,4.255116,3.893241,4.172164,3.82762,3.86699,4.039232,3.847215,4.239316,4.456776,3.740896,3.832081,4.127721,3.990911
"PDE12",6.927886,6.869117,6.950116,6.771526,6.901132,6.784872,6.830976,6.634048,6.983853,6.897203,7.234089,6.769171,7.022333,6.595648
"PDE1A",3.246775,3.345185,3.462188,3.281995,2.997494,3.16447,3.16447,3.143108,3.342193,3.246775,3.228509,3.306826,3.152311,3.230567
"PDE1B",6.682511,6.611963,6.793424,6.600566,6.790936,6.597101,6.647542,6.610499,6.540306,6.689457,7.093868,7.102018,6.569517,6.77371
"PDE1C",4.953633,5.123513,4.633205,5.176577,4.231342,5.046694,4.583218,4.899079,4.795306,5.099629,3.874891,4.2721,4.80169,4.735551
"PDE2A",5.569228,5.461705,5.253934,5.663445,5.461705,5.332304,5.517121,5.141073,5.553051,5.476016,5.387002,5.73696,5.456513,6.183632
"PDE3A",5.814734,5.933849,5.973812,5.592519,5.99194,5.988404,5.657214,5.490976,5.993918,5.827535,5.707031,5.933635,5.375694,6.597744
"PDE3B",8.832571,8.696085,9.08676,8.57726,8.893347,9.142297,8.755054,8.905692,8.985019,8.929909,8.903812,8.852381,8.952771,8.922513
"PDE4A",6.558163,6.458557,6.335585,6.292598,6.54308,6.058581,6.492109,6.402297,6.192146,6.483114,6.403451,6.886958,6.178267,6.416894
"PDE4B",7.169257,7.291514,7.758964,7.328896,7.155608,7.546527,7.551427,7.305562,7.481987,7.25312,7.457747,7.209252,7.294754,7.607598
"PDE4C",5.948658,6.252245,5.914303,5.950551,5.948658,5.948658,5.876213,5.9045,6.168479,6.033364,5.76453,5.582792,5.876858,6.025938
"PDE4DIP",7.8639495,7.896099,8.0530305,7.8649525,7.7867145,7.80156,7.9082105,8.092232,8.0737645,7.7729655,7.893425,8.0801915,7.7750295,7.699502
"PDE5A",6.713943,6.619505,7.376778,6.192223,6.974598,7.131808,6.825688,7.107828,7.549235,6.386075,7.088526,7.415581,5.777074,7.511143
"PDE6A",3.902246,4.329763,3.929452,3.999672,3.93093,4.212776,4.322374,3.985785,4.007775,3.998183,3.833501,3.969701,4.009835,3.969667
"PDE6B",5.699085,5.678454,5.587524,5.649361,5.663502,5.657659,5.641258,5.626915,5.591082,5.555358,5.655274,5.540074,5.446108,5.714926
"PDE6C",3.773999,3.915474,4.096478,4.311339,3.70359,3.679718,3.689041,3.877568,3.94983,4.070802,3.896036,4.054111,3.615422,3.822654
"PDE6D",8.681161,8.48084,8.612278,8.48746,8.571586,8.699253,9.100787,8.758527,8.919935,8.748031,8.8366,8.649438,8.685021,8.509365
"PDE6G",5.97462,6.043118,6.173933,5.957219,6.403383,5.706719,6.340321,6.316173,5.835921,5.915314,6.143419,5.976916,5.631587,6.06167
"PDE6H",5.033739,5.001586,4.696392,4.520191,4.403767,4.896852,4.29721,4.443058,4.649902,4.518741,4.256,4.451484,4.692766,5.143417
"PDE7A",9.077131,8.960009,8.729342,8.893264,8.902006,8.976106,8.811413,9.114828,8.999138,8.861982,8.900625,8.957436,8.782835,8.498987
"PDE7B",5.722334,5.865875,5.593027,5.919324,5.75813,5.282389,5.772581,5.904034,5.457212,5.635275,5.437705,5.966181,5.588091,5.890172
"PDE8A",7.554606,7.166587,7.48073,7.384669,7.394933,7.610879,7.562572,7.656923,7.583537,7.474317,7.43978,7.72581,7.440601,7.293911
"PDE8B",4.922926,4.375796,4.663071,4.723866,4.784982,4.788512,4.717387,4.70015,4.530763,4.781068,4.54956,5.291933,5.2613,4.60924
"PDE9A",7.070741,6.610554,6.358263,6.889685,6.562269,6.094999,6.02057,6.796122,6.837276,6.71583,6.140092,7.207569,6.842589,6.168306
"PDGFA",6.151119,6.283627,6.603655,5.919979,6.227046,6.160675,6.552521,6.642174,6.527102,6.040203,6.100456,6.790337,5.9682,6.538081
"PDGFB",6.100293,6.030535,5.946491,5.990437,5.936286,6.03476,5.945127,5.70436,5.530343,5.88812,6.32637,5.922143,5.946761,5.961886
"PDGFC",5.661573,5.52946,5.771666,5.53205,5.855397,5.779544,5.77688,6.20117,5.508934,5.862582,5.66462,6.021961,5.44611,6.228098
"PDGFD",6.356926,6.105017,6.210047,6.700612,5.850861,6.401186,6.215297,5.959636,5.812707,6.40239,7.009351,5.270722,6.782521,5.447809
"PDGFRA",4.111457,4.394954,3.917355,4.111085,3.835363,4.189919,3.94023,3.722308,4.205616,4.132947,3.999152,4.174059,4.069331,4.382919
"PDGFRB",5.906004,6.033584,5.980559,6.27375,5.727058,5.968191,6.112617,5.720655,5.806381,6.142337,6.11926,5.604879,6.048258,5.820196
"PDGFRL",5.253464,5.518664,5.341228,5.307445,5.204251,5.244232,5.045112,4.925005,5.237404,5.587091,5.034212,5.066114,5.156467,5.611941
"PDHA1",7.975622,7.996371,8.049121,8.526331,8.454201,8.282506,8.407076,8.110989,7.935696,8.044472,8.040613,8.147698,8.228698,7.914165
"PDHA2",4.732085,5.596732,4.797459,5.077368,4.822851,4.788548,5.137071,4.799456,5.136224,4.948119,4.876458,4.413278,4.90495,4.990467
"PDHB",8.160316,7.984194,8.333282,8.423353,8.182488,8.315844,8.608834,8.290586,8.158097,8.318776,8.342257,8.241014,8.354003,8.084141
"PDHX",8.475795,8.47101,8.62571,8.61324,8.519379,8.382754,9.127672,8.581124,8.890326,8.534242,8.65011,8.649131,8.600779,8.502882
"PDIA2",5.661584,5.499458,5.1471,5.573237,4.96333,5.292327,4.999657,5.02264,5.359571,5.378718,4.923643,5.174249,5.207594,5.533232
"PDIA3",9.8080095,9.904671,9.91794,9.780616,9.6450535,9.513717,9.803478,10.026293,9.6888775,9.732137,10.010628,9.6947955,9.8606915,9.863822
"PDIA4",8.369008,8.329384,8.40927,8.193436,8.329911,8.153069,8.215256,8.350942,8.042151,8.091331,8.231327,8.585131,8.385829,7.984293
"PDIA5",6.674448,6.834178,7.16646,6.619111,6.525574,6.72844,6.687217,6.672652,6.716935,6.743288,6.647351,6.678754,6.734396,7.001328
"PDIA6",9.285911,9.178147,9.627638,9.684056,9.149859,9.368246,9.701614,9.689435,9.505606,9.406082,9.340131,9.327211,9.82796,9.476664
"PDIK1L",6.109277,5.942727,6.218371,6.510712,6.027679,6.296291,6.492298,6.200282,6.360878,6.065147,6.383378,6.125292,6.37543,6.062798
