,Posttreatment_Placebo1,Posttreatment_Placebo2,Posttreatment_Placebo3,Posttreatment_Placebo4,Posttreatment_Placebo5,Posttreatment_Placebo6,Posttreatment_Placebo7
ID_REF,GSM1923001,GSM1923005,GSM1923011,GSM1923013,GSM1923021,GSM1923006,GSM1923014
8165698,8.738729,8.850129,8.578366,8.622133,8.287048,8.315855,8.481356
8072731,2.151286,2.320437,2.312054,2.320637,2.359617,2.312054,2.352047
8143597,4.333024,4.214844,4.570108,4.211994,4.106928,4.254778,3.818378
7898007,4.417192,4.519309,4.557517,4.420445,4.384354,4.563277,4.234125
7921110,9.707081,9.844841,9.714491,9.925046,9.564213,9.798152,9.839118
7941260,7.210086,6.99616,7.008878,7.089239,6.99039,6.86518,7.262534
7925846,4.231349,4.307938,4.291779,4.32611,4.253821,4.523098,4.312
8053842,6.282038,6.025602,6.238628,6.239805,6.03324,6.164901,6.415175
7964677,7.044317,7.368937,6.830845,7.068305,6.895545,7.001325,7.27296
7898594,5.9684,5.911581,5.795816,5.945276,5.962443,5.795816,5.829787
