"","value","change","pre_GSM1923000","pre_GSM1923004","pre_GSM1923010","pre_GSM1923012","pre_GSM1923007","pre_GSM1923020","pre_GSM192998","pre_GSM1922995","pre_GSM1923002","pre_GSM1923008","pre_GSM1923015","pre_GSM1923018","pre_GSM1923022","pre_GSM1923017","post_EG_GSM1923001","post_EG_GSM1923005","post_EG_GSM1923011","post_EG_GSM1923013","post_EG_GSM1923021","post_EG_GSM1923006","post_EG_GSM1923014","post_EQ_GSM192996","post_EQ_GSM1923003","post_EQ_GSM1923009","post_EQ_GSM1923016","post_EQ_GSM1923019","post_EQ_GSM1923023","post_EQ_GSM192997"
"RPS7","Fold Change EGCG+Quercentin",1.09164691380109,4.3154345,3.8521165,4.25758,4.0559025,4.2646525,4.3983355,4.279754,5.185456,4.013799,4.1455885,4.3816285,4.186968,4.0044175,4.718851,3.9319885,4.731526,4.443668,4.6141645,4.3633705,4.2734725,4.4190315,5.036717,4.1641185,5.200315,4.620352,3.940056,5.194638,4.6262245
"RNU6-98P","Fold Change EGCG+Quercentin",1.08966174574791,1.891458,2.050228,2.241666,2.082704,2.137153,2.060897,2.121304,2.143853,2.244068,2.002282,1.904648,2.685178,2.309709,2.183602,2.212602,2.084784,2.203373,2.221457,1.978951,2.318737,2.119062,2.620892,2.459692,2.122816,2.37493,2.146768,2.425967,2.22587
"FAU1","Fold Change EGCG+Quercentin",1.08904128955861,2.923815,3.196819,3.117909,2.450092,2.701025,2.93315,2.538203,2.92258,3.709078,3.363532,3.29523,2.712208,2.283188,2.842638,3.573943,3.869781,3.168412,3.493053,4.284653,3.411751,2.693678,3.052848,3.10222,3.584512,3.112173,3.244807,2.657585,3.565466
"GSTM1","Fold Change EGCG+Quercentin",1.08827518150161,8.472179,6.076176,6.174376,6.026742,6.458577,5.554105,6.361301,6.012029,7.862147,8.596789,5.537547,8.948875,8.214592,7.9289,8.730453,5.601388,6.366739,6.313624,5.863973,5.765924,6.322592,5.903659,7.950787,8.581388,5.350835,8.706761,8.425818,8.528305
"RNU4-2","Down Regulated EGCG",0.724742571428571,8.327796,7.4665,7.294303,7.256128,7.6907,7.743725,8.194386,7.506886,7.817271,8.045245,8.391516,9.026752,6.769595,8.115437,6.25269,7.938001,7.687862,7.062013,7.569274,6.700064,6.540018,7.039741,7.803569,7.717729,8.222206,8.856528,6.542171,7.575119
"TMTC1","Down Regulated EGCG",0.68544,5.368236,6.849525,5.133677,7.026363,6.744016,4.787425,7.462216,7.829046,7.055426,6.979723,7.171209,7.166209,5.084648,8.352043,4.848335,6.759398,5.230656,7.895698,4.955577,6.872093,5.145044,7.740302,7.091697,6.878068,6.861707,7.790562,5.077416,6.437828
"SLFN14","Down Regulated EGCG",0.614813785714285,6.920948,6.871564,7.013676,5.894792,7.347084,7.466074,7.734507,7.225273,8.492467,7.073551,6.917688,7.704072,8.571956,7.416633,6.388772,6.694151,6.506222,7.099987,7.298946,6.467964,6.565404,7.026289,8.537401,7.245165,6.963031,7.303243,9.144846,7.201931
"SLC14A1","Down Regulated EGCG",0.59353807142857,9.845773,10.34326,9.47344,9.201641,10.14733,10.12761,10.99537,9.363169,11.51621,10.41857,10.3765,10.72244,11.84463,10.11232,9.546643,10.28014,8.955799,9.743366,10.16968,9.766462,9.627275,9.5999,11.58985,10.29944,10.34225,10.35155,12.42471,10.33777
"GSTM11","Down Regulated EGCG",0.592496357142857,8.472179,6.076176,6.174376,6.026742,6.458577,5.554105,6.361301,6.012029,7.862147,8.596789,5.537547,8.948875,8.214592,7.9289,8.730453,5.601388,6.366739,6.313624,5.863973,5.765924,6.322592,5.903659,7.950787,8.581388,5.350835,8.706761,8.425818,8.528305
"SCARNA10","Down Regulated EGCG",0.587677071428571,8.062058,7.402003,7.134168,7.705833,8.546481,8.402628,6.50957,7.869164,8.627264,7.908354,7.997349,8.827578,8.532614,8.454391,6.477332,8.065611,7.276847,7.592211,8.669718,7.621096,6.173173,7.659682,7.964205,7.85086,8.621956,8.938608,7.596479,7.809654
"RNF182","Down Regulated EGCG",0.583718428571429,5.898824,9.661179,4.698263,6.551296,6.222152,5.657006,8.664271,7.097365,10.20627,5.984591,5.781807,5.665356,10.22247,8.922358,5.718733,9.667198,5.317696,7.193083,5.763507,7.250315,5.620043,6.947811,10.1962,6.014792,5.199347,5.013575,10.32815,7.956069
"LINC00189","Down Regulated EGCG",0.573705571428571,5.008105,5.074153,5.969443,6.103569,7.737411,5.132412,6.972443,6.869028,5.597713,6.673177,6.901049,7.79761,4.174501,7.720346,5.307739,5.376432,5.277018,6.187052,5.000858,6.953821,5.746621,7.025535,5.896317,7.352423,6.712823,8.414383,4.968812,5.062799
"XK","Down Regulated EGCG",0.560327642857143,8.649788,9.159578,7.632213,7.922269,8.797106,8.676796,9.290656,8.7299,9.923145,9.287848,8.40299,8.913815,10.21627,8.923471,8.289977,9.000059,7.453115,8.468859,8.646244,8.333897,8.148478,9.035988,10.08507,8.992656,8.444243,8.63734,10.45839,8.400677
"TSPAN7","Down Regulated EGCG",0.550077785714286,7.270642,7.641379,6.163517,6.095269,7.061808,6.79943,8.052944,6.900731,8.537998,10.6927,6.548839,7.507761,7.200236,7.722299,7.070602,7.635836,6.184412,6.464887,6.705126,7.184817,7.001552,6.820817,8.551716,10.44944,6.446705,7.120396,7.580519,6.911358
"SFRP2","Down Regulated EGCG",0.542122785714286,6.242383,6.199125,6.419077,6.436749,7.064362,7.004295,7.250219,6.970616,8.568158,6.583425,6.891493,7.580279,6.462964,6.829654,6.127592,6.082124,5.52437,6.79482,6.990051,6.450964,6.486619,7.000079,8.651437,6.36728,6.683014,6.921742,6.849542,6.406588
"ORM1","Down Regulated EGCG",0.531246214285714,5.392341,5.107743,6.1606,5.326785,6.468585,7.48913,6.30702,5.67574,6.234042,6.417063,5.107102,4.849042,5.151833,7.296613,4.454395,4.531877,5.392102,5.990294,7.2191,5.943068,4.24226,5.829978,6.181441,6.517202,5.489808,5.25426,5.198147,7.155084
"LRP1","Down Regulated EGCG",0.5302475,9.438645,8.930514,8.713573,8.025482,8.816051,8.187409,8.200642,8.426199,7.856422,8.178926,8.585566,9.596701,8.402471,9.09301,8.079201,7.932209,8.670917,7.730622,7.846555,8.071026,8.183543,8.270761,7.786587,8.202093,8.472079,9.008548,8.356019,8.565988
"RPPH1","Down Regulated EGCG",0.525648357142856,9.436149,8.994946,8.530666,8.257639,9.331375,8.666814,8.732365,7.994755,8.892643,8.9312,8.972183,9.633449,8.903378,8.734781,8.406297,8.640158,8.335856,8.353057,8.802331,8.306144,7.48279,7.796389,8.789339,8.77482,9.090113,9.187703,8.423525,8.510585
